,Clan,Generation,Sire,Sire_Link,Name,Link,Childer
53,Setite,,,,Jubal,https://whitewolf.fandom.com/wiki/Jubal,
54,Followers of Set,,,,Jérar,https://whitewolf.fandom.com/wiki/J%C3%A9rar,Moise
55,Follower of Set,6th,unknown (implied to be the Sleeping Lord[1]),https://whitewolf.fandom.com/wiki/Sleeping_Lord,Kahina,https://whitewolf.fandom.com/wiki/Kahina,
56,Followers of Set,4th,Set,https://whitewolf.fandom.com/wiki/Set_(VTM),Kemintiri,https://whitewolf.fandom.com/wiki/Kemintiri,
57,Setite,,Renenet,https://whitewolf.fandom.com/wiki/Renenet,Maria Kenyon,https://whitewolf.fandom.com/wiki/Maria_Kenyon,Hayes (ghoul)
58,Followers of Set,6th,Nehsi,https://whitewolf.fandom.com/wiki/Nehsi,Khay'tall,https://whitewolf.fandom.com/wiki/Khay%27tall,"['Sarrasine (532)', 'Benedict Alphonso', 'Numerous others']"
59,Setites,unknown,,,Adrian King,https://whitewolf.fandom.com/wiki/Adrian_King,
60,Setite Antitribu,7th,Lucretia,https://whitewolf.fandom.com/wiki/Lucretia,Danny Larkshill,https://whitewolf.fandom.com/wiki/Danny_Larkshill,
61,Follower of Set,6th,unknown,,Lucretia,https://whitewolf.fandom.com/wiki/Lucretia,"['Danny Larkshill', 'Mark Sandhurst']"
62,Ministry,possibly 8th or 9th,,,Crystal Lynn,https://whitewolf.fandom.com/wiki/Crystal_Lynn,
63,Followers of Set,4th,Set,https://whitewolf.fandom.com/wiki/Set_(VTM),Maatkare,https://whitewolf.fandom.com/wiki/Maatkare,Likely several
64,Followers of Set,unknown,,,Manetho,https://whitewolf.fandom.com/wiki/Manetho,
65,Followers of Set,7th,Ezuli,https://whitewolf.fandom.com/wiki/Ezuli,Manon,https://whitewolf.fandom.com/wiki/Manon,
66,Followers of Set,unknown,,,Amelia Mapleridge,https://whitewolf.fandom.com/wiki/Amelia_Mapleridge,
67,Setite,6th,Jocalo,https://whitewolf.fandom.com/wiki/Jocalo,Mara (Setite),https://whitewolf.fandom.com/wiki/Mara_(Setite),
68,The Ministry,11th,Goolooboo,https://whitewolf.fandom.com/wiki/Goolooboo,Marcel (Setite),https://whitewolf.fandom.com/wiki/Marcel_(Setite),Thea Noel-MacCrain (2016)
69,Ministry,possibly 9th or 10th,,,Melech (Ministry),https://whitewolf.fandom.com/wiki/Melech_(Ministry),
70,Follower of Set,7th [1],Sutekhankharen,https://whitewolf.fandom.com/wiki/Sutekhankharen,Meribah,https://whitewolf.fandom.com/wiki/Meribah,Dehaan (unofficial)
71,Ministry,,,,Miranda (Minister),https://whitewolf.fandom.com/wiki/Miranda_(Minister),
72,Ministry,unknown,Jérar,https://whitewolf.fandom.com/wiki/J%C3%A9rar,Moise,https://whitewolf.fandom.com/wiki/Moise,
73,The Ministry,11th,Melvyn Ramsay,https://whitewolf.fandom.com/wiki/Melvyn_Ramsay,Freddie Montgomery,https://whitewolf.fandom.com/wiki/Freddie_Montgomery,
74,Ministry,possibly 9th or 10th,,,Doctor Morocco,https://whitewolf.fandom.com/wiki/Doctor_Morocco,
75,Followers of Set,4th,Set,https://whitewolf.fandom.com/wiki/Set_(VTM),Nakhthorheb,https://whitewolf.fandom.com/wiki/Nakhthorheb,Many
76,Followers of Set,4th,Set,https://whitewolf.fandom.com/wiki/Set_(VTM),Nebmaatsutekh,https://whitewolf.fandom.com/wiki/Nebmaatsutekh,Likely many
77,Setite,6th,Ororiouth,https://whitewolf.fandom.com/wiki/Ororiouth,Nebseni,https://whitewolf.fandom.com/wiki/Nebseni,
78,Followers of Set,4th,Sutekh,https://whitewolf.fandom.com/wiki/Sutekh_(VTM),Nefertiti,https://whitewolf.fandom.com/wiki/Nefertiti,Various Aabbt Kindred
79,Followers of Set,5th,Nefertiti (possibly),https://whitewolf.fandom.com/wiki/Nefertiti,Neferu,https://whitewolf.fandom.com/wiki/Neferu,Sobek (possibly)
80,Follower of Set,5th,Unknown,,Nehsi,https://whitewolf.fandom.com/wiki/Nehsi,Khay'tall
81,Followers of Set,4th,Set,https://whitewolf.fandom.com/wiki/Set_(VTM),Nephthys,https://whitewolf.fandom.com/wiki/Nephthys,
82,Ministry,possibly 11th to 13th,,,Cao Nguyen,https://whitewolf.fandom.com/wiki/Cao_Nguyen,
83,Ministry,12th,Marcel,https://whitewolf.fandom.com/wiki/Marcel_(Setite),Thea Noel-MacCrain,https://whitewolf.fandom.com/wiki/Thea_Noel-MacCrain,
84,Luo; Follower of Set,6th,,,Ollam-Onga,https://whitewolf.fandom.com/wiki/Ollam-Onga,
85,Follower of Set,9th,Lady Clea Auguste d’Holford,https://whitewolf.fandom.com/wiki/Augusta_Holford,Ormonde,https://whitewolf.fandom.com/wiki/Ormonde,
86,Setite,5th,Ta-urt,https://whitewolf.fandom.com/wiki/Ta-urt,Ororiouth,https://whitewolf.fandom.com/wiki/Ororiouth,Nebseni
87,Ministry,,Unknown,,Eric Parker,https://whitewolf.fandom.com/wiki/Eric_Parker,
88,Followers of Set,6th,Isenkhebe,https://whitewolf.fandom.com/wiki/Isenkhebe,Pentweret,https://whitewolf.fandom.com/wiki/Pentweret,Likely few/several
89,Ministry,13th,Aluc Romas de Leon,https://whitewolf.fandom.com/wiki/Aluc_Romas_de_Leon,Keisha Phelps,https://whitewolf.fandom.com/wiki/Keisha_Phelps,
90,Setite,5th,,,Porphyrion,https://whitewolf.fandom.com/wiki/Porphyrion,Sundervere (1227)
91,Followers of Set,7th,"Qufur am-Heru, the Third",,Qufur am-Heru,https://whitewolf.fandom.com/wiki/Qufur_am-Heru,
92,Followers of Set,8th,Unknown,,Samat Ramal,https://whitewolf.fandom.com/wiki/Samat_Ramal,
93,Ministry,10th,,,Melvyn Ramsay,https://whitewolf.fandom.com/wiki/Melvyn_Ramsay,Freddie Montgomery (1982)
94,Followers of Set,9th,Khabiri,,Ravenna,https://whitewolf.fandom.com/wiki/Ravenna,
95,Setite,,,,Renenet,https://whitewolf.fandom.com/wiki/Renenet,Maria Kenyon
96,Ministry,12th,Andreas Aegyptus,https://whitewolf.fandom.com/wiki/Andreas_Aegyptus,Aluc Romas de Leon,https://whitewolf.fandom.com/wiki/Aluc_Romas_de_Leon,Keisha Phelps
97,Setite,,,,Benedetto Rossanisi di Reggio,https://whitewolf.fandom.com/wiki/Benedetto_Rossanisi_di_Reggio,
98,Ministry,8th,Abu Ruhadze,https://whitewolf.fandom.com/wiki/Abu_Ruhadze,Hesha Ruhadze,https://whitewolf.fandom.com/wiki/Hesha_Ruhadze,Elizabeth Dimitros (1999 CE)
99,Follower of Set,unknown,,,Ráðúlfr,https://whitewolf.fandom.com/wiki/R%C3%A1%C3%B0%C3%BAlfr,
100,Setite,10th,,,Sabine,https://whitewolf.fandom.com/wiki/Sabine,Andreas Aegyptus (539)
101,Setite Antitribu,7th,Lucretia,https://whitewolf.fandom.com/wiki/Lucretia,Mark Sandhurst,https://whitewolf.fandom.com/wiki/Mark_Sandhurst,Several
102,Serpents of the Light,7th,unknown,,Sangris the Serpent,https://whitewolf.fandom.com/wiki/Sangris_the_Serpent,Ezekiel
103,Ministry,,,,Elie Sansaricq,https://whitewolf.fandom.com/wiki/Elie_Sansaricq,
104,Followers of Set,"['7th (Originally)', '6th (through diablerie)']",Khay'tall,https://whitewolf.fandom.com/wiki/Khay%27tall,Sarrasine,https://whitewolf.fandom.com/wiki/Sarrasine,"['Jules Talbot', 'Ella Littleton']"
105,Followers of Set,4th,Set,https://whitewolf.fandom.com/wiki/Set_(VTM),Scorpion King,https://whitewolf.fandom.com/wiki/Scorpion_King,"Sleeping Lord
Numerous"
106,Follower of Set,,,,Sebehlsenkare,https://whitewolf.fandom.com/wiki/Sebehlsenkare,
107,"""Snake Clan""[3]",3rd[4],Zillah (presumed),https://whitewolf.fandom.com/wiki/Zillah,Set (VTM),https://whitewolf.fandom.com/wiki/Set_(VTM),"['Nakhthorheb[5]', 'Seterpenre[5]', 'Maatkare[5]', 'Wepwawet[6]', 'The Scorpion King [7]', 'Nebmaatsutekh[8]', 'Kemintiri[9]', 'Nefertiti[10]', 'Nephthys[11]', 'Qufur am-Heru the First[12]', 'Sobek[13]', 'Ta-urt[14]', 'Wadjet[15]']"
108,Followers of Set,4th,Set,https://whitewolf.fandom.com/wiki/Set_(VTM),Seterpenre,https://whitewolf.fandom.com/wiki/Seterpenre,"Isenkhebe
Several more"
109,Follower of Set,,,,Setnakhte,https://whitewolf.fandom.com/wiki/Setnakhte,
110,Followers of Set,9th,Farid Borundi,https://whitewolf.fandom.com/wiki/Farid_Borundi,Shirkol,https://whitewolf.fandom.com/wiki/Shirkol,Multiple (unnamed)
111,Ministry,possibly 9th to 10th,,,Jenny Silver,https://whitewolf.fandom.com/wiki/Jenny_Silver,
112,Ministry,,,,Simone,https://whitewolf.fandom.com/wiki/Simone,
113,Setite,7th,,,Sirian,https://whitewolf.fandom.com/wiki/Sirian,Halim Bey (1880)
114,Followers of Set,5th,Scorpion King,https://whitewolf.fandom.com/wiki/Scorpion_King,Sleeping Lord,https://whitewolf.fandom.com/wiki/Sleeping_Lord,Possibly Kahina
115,Followers of Set,4th,Set,https://whitewolf.fandom.com/wiki/Set_(VTM),Sobek (Abomination),https://whitewolf.fandom.com/wiki/Sobek_(Abomination),
116,Followers of Set,6th,Neferu (possibly),https://whitewolf.fandom.com/wiki/Neferu,Sobek (Fire Court),https://whitewolf.fandom.com/wiki/Sobek_(Fire_Court),
117,Ministry,,,,Tyrone Soros,https://whitewolf.fandom.com/wiki/Tyrone_Soros,
118,Followers of Set,,,,Seren Sukardi,https://whitewolf.fandom.com/wiki/Seren_Sukardi,
119,Followers of Set,6th,Unknown,,Sukhmet,https://whitewolf.fandom.com/wiki/Sukhmet,
120,Followers of Set (Daitya),6th,Porphyrion,https://whitewolf.fandom.com/wiki/Porphyrion,Sundervere,https://whitewolf.fandom.com/wiki/Sundervere,
121,Follower of Set,6th,Unknown,,Sutekhankharen,https://whitewolf.fandom.com/wiki/Sutekhankharen,Meribah
122,Followers of Set,4th,Set,https://whitewolf.fandom.com/wiki/Set_(VTM),Ta-urt,https://whitewolf.fandom.com/wiki/Ta-urt,"Ororiouth
Several more"
123,Followers of Set,unknown,unknown,,Teotukapis,https://whitewolf.fandom.com/wiki/Teotukapis,
124,Ministry,possibly 8th or 9th,,,Elisha Tucker,https://whitewolf.fandom.com/wiki/Elisha_Tucker,
125,Followers of Set,7th,Unknown,,Umar,https://whitewolf.fandom.com/wiki/Umar,Dauud
126,Followers of Set,,,,Erich Vegel,https://whitewolf.fandom.com/wiki/Erich_Vegel,
127,Ministry,possibly 8th or 9th,,,Vivian VI,https://whitewolf.fandom.com/wiki/Vivian_VI,
128,Followers of Set,4th,Set,https://whitewolf.fandom.com/wiki/Set_(VTM),Wadjet,https://whitewolf.fandom.com/wiki/Wadjet,
129,Followers of Set,4th,Set,https://whitewolf.fandom.com/wiki/Set_(VTM),Wepwawet,https://whitewolf.fandom.com/wiki/Wepwawet,Numerous
130,Followers of Set,unknown,,,Zhenga,https://whitewolf.fandom.com/wiki/Zhenga,
131,Setite antitribu,Unknown,Unknown,,Zubeida,https://whitewolf.fandom.com/wiki/Zubeida,
0,The Ministry,,,,Zuri,https://whitewolf.fandom.com/wiki/Zuri,
