,Clan,Generation,Childer,Name,Link,Sire,Sire_Link
73,Lasombra,7th,,Eudes de Saint-Gilles,https://whitewolf.fandom.com/wiki/Eudes_de_Saint-Gilles,Malzediel,https://whitewolf.fandom.com/wiki/Malzediel
74,Lasombra,13th,,Isidro de Saldanha,https://whitewolf.fandom.com/wiki/Isidro_de_Saldanha,Don Vicente Ortiz y Peralta,
75,Lasombra,8th,,Don Alonzo de Vargas,https://whitewolf.fandom.com/wiki/Don_Alonzo_de_Vargas,Guilelmo Aliprando,https://whitewolf.fandom.com/wiki/Guilelmo_Aliprando
76,Lasombra,4th,Sebastian,Gratiano de Veronese,https://whitewolf.fandom.com/wiki/Gratiano_de_Veronese,Lasombra Antediluvian,https://whitewolf.fandom.com/wiki/Lasombra_Antediluvian
77,Lasombra,Unknown,,Maria Del Torro,https://whitewolf.fandom.com/wiki/Maria_Del_Torro,,
78,Lasombra,,,Delgado (Lasombra elder),https://whitewolf.fandom.com/wiki/Delgado_(Lasombra_elder),,
79,Lasombra,8th,,Antonio Delgado,https://whitewolf.fandom.com/wiki/Antonio_Delgado,Francisco Domingo de Polonia,https://whitewolf.fandom.com/wiki/Francisco_Domingo_de_Polonia
80,Lasombra,8th,,Charles Delmare,https://whitewolf.fandom.com/wiki/Charles_Delmare,Chlodobert the Lame,https://whitewolf.fandom.com/wiki/Chlodobert_the_Lame
81,Lasombra,10th,Braden White (2002),Amelia di Carlo,https://whitewolf.fandom.com/wiki/Amelia_di_Carlo,,
82,Lasombra,6th,Giangaleazzo (1351),Fray Diego,https://whitewolf.fandom.com/wiki/Fray_Diego,,
83,Lasombra (possibly Angellis Ater),9th,,Francisca dos Santos Rodriguez,https://whitewolf.fandom.com/wiki/Francisca_dos_Santos_Rodriguez,unknown,
84,Lasombra,13th (presumably),,Aaron Duggan,https://whitewolf.fandom.com/wiki/Aaron_Duggan,,
85,Lasombra,7th,"['Magnus', 'More childer']",Ectoris,https://whitewolf.fandom.com/wiki/Ectoris,,
86,Lasombra,unknown,,Haroun el-La'il,https://whitewolf.fandom.com/wiki/Haroun_el-La%27il,,
87,Lasombra,"['10th (by diablerie)', '11th (originally)']",,Andrew Emory,https://whitewolf.fandom.com/wiki/Andrew_Emory,Demba Makemba Adoula,https://whitewolf.fandom.com/wiki/Demba_Makemba_Adoula
88,Lasombra,6th,Paliuro Rustucci,Enrico,https://whitewolf.fandom.com/wiki/Enrico,,
89,Lasombra,9th,Percival (1866),Ermenegildo,https://whitewolf.fandom.com/wiki/Ermenegildo,,
90,Lasombra,9th,Julius Sutphen (1872),Catherine Esposito,https://whitewolf.fandom.com/wiki/Catherine_Esposito,,
91,Lasombra,Unknown,"['Montrovant', 'Syd', 'Others unknown']",Claudius Eugenio,https://whitewolf.fandom.com/wiki/Claudius_Eugenio,,
92,Lasombra,10th,,Tabitha Fisk,https://whitewolf.fandom.com/wiki/Tabitha_Fisk,Unknown,
93,Lasombra,11th,,Miss Fitzsimmons,https://whitewolf.fandom.com/wiki/Miss_Fitzsimmons,Walter Ranier,
94,Lasombra,,,Gabriella (Lasombra),https://whitewolf.fandom.com/wiki/Gabriella_(Lasombra),,
95,"Toreador antitribu
Disguising herself as a Lasombra",5th,Rosa Martinez,Melinda Galbraith,https://whitewolf.fandom.com/wiki/Melinda_Galbraith,Helena,https://whitewolf.fandom.com/wiki/Helena_(VTM)
96,Lasombra,5th,Narses (576 CE),Galerius,https://whitewolf.fandom.com/wiki/Galerius,,
97,Lasombra,5th,Likely several,Geoffrey of Richmond,https://whitewolf.fandom.com/wiki/Geoffrey_of_Richmond,Boukephos,https://whitewolf.fandom.com/wiki/Boukephos
98,Lasombra antitribu,7th,Rabbi Michalis Basaras,Giangaleazzo,https://whitewolf.fandom.com/wiki/Giangaleazzo,Fray Diego,https://whitewolf.fandom.com/wiki/Fray_Diego
99,Lasombra,9th,Giacomo Giuccardini (1147),Enrico Giuccardini,https://whitewolf.fandom.com/wiki/Enrico_Giuccardini,,
100,Lasombra,10th,,Giacomo Giuccardini,https://whitewolf.fandom.com/wiki/Giacomo_Giuccardini,Enrico Giuccardini,https://whitewolf.fandom.com/wiki/Enrico_Giuccardini
101,Lasombra,"unknown, possibly 5th (see below)",Norbert von Xanten,Gotzon,https://whitewolf.fandom.com/wiki/Gotzon,Unknown,
102,Lasombra,unknown,,Greyhound,https://whitewolf.fandom.com/wiki/Greyhound,,
103,Tremere or Lasombra,12th,,Marilyn Haig,https://whitewolf.fandom.com/wiki/Marilyn_Haig,,
104,Lasombra,12th,Araceli Rivera,Clova Haines,https://whitewolf.fandom.com/wiki/Clova_Haines,Hector Wilson,https://whitewolf.fandom.com/wiki/Hector_Wilson
105,Lasombra,8th,Eustace Lancaster (1461),Henry of Castile,https://whitewolf.fandom.com/wiki/Henry_of_Castile,,
106,Lasombra,unknown,,Heydar,https://whitewolf.fandom.com/wiki/Heydar,,
107,Lasombra,,,Hound (Lasombra),https://whitewolf.fandom.com/wiki/Hound_(Lasombra),,
108,Lasombra,7th,,Suleiman ibn Abdullah,https://whitewolf.fandom.com/wiki/Suleiman_ibn_Abdullah,Abdullah,https://whitewolf.fandom.com/wiki/Abdullah
109,Lasombra,,,Rafiq ibn Haroun,https://whitewolf.fandom.com/wiki/Rafiq_ibn_Haroun,,
110,Lasombra,,,Salomon ibn Jedah ibn Gabirol,https://whitewolf.fandom.com/wiki/Salomon_ibn_Jedah_ibn_Gabirol,,
111,Lasombra,unknown,,Isaac ibn Mushad,https://whitewolf.fandom.com/wiki/Isaac_ibn_Mushad,,
112,Lasombra,possibly 5th,,Farouk ibn Omar,https://whitewolf.fandom.com/wiki/Farouk_ibn_Omar,,
113,Lasombra,unknown,Many,Farouk ibn Sa'id,https://whitewolf.fandom.com/wiki/Farouk_ibn_Sa%27id,,
114,Lasombra,unknown,,Yusuf ibn Shamsid,https://whitewolf.fandom.com/wiki/Yusuf_ibn_Shamsid,,
115,Lasombra,unknown,,Don Ibrahim,https://whitewolf.fandom.com/wiki/Don_Ibrahim,,
116,Lasombra,8th,,Juliano,https://whitewolf.fandom.com/wiki/Juliano,Alfonzo of Venice,https://whitewolf.fandom.com/wiki/Alfonzo_of_Venice
117,Lasombra,11th,,Kandy Kaine,https://whitewolf.fandom.com/wiki/Kandy_Kaine,Paulette Strohmer,https://whitewolf.fandom.com/wiki/Paulette_Strohmer
118,Lasombra,4th,"Cleobolus
Many more",Karotos,https://whitewolf.fandom.com/wiki/Karotos,Lasombra Antediluvian,https://whitewolf.fandom.com/wiki/Lasombra_Antediluvian
119,Lasombra antitribu,9th,,Alejandro Kleist,https://whitewolf.fandom.com/wiki/Alejandro_Kleist,Unknown,
120,Lasombra,,,Konstantin,https://whitewolf.fandom.com/wiki/Konstantin,,
121,Lasombra,8th,,Markus Kumnyama,https://whitewolf.fandom.com/wiki/Markus_Kumnyama,Unnamed,
122,Lasombra antitribu,9th,,Eustace Lancaster,https://whitewolf.fandom.com/wiki/Eustace_Lancaster,Henry of Castile,https://whitewolf.fandom.com/wiki/Henry_of_Castile
123,Lasombra,3rd,"['Many ""failures""', 'Montano', 'Boukephos', 'Sybil', 'Tersa', 'Karotos', 'Khanom Mehr', 'Tepelit', 'Tubalcain', 'Blue Eye', 'Gratiano (1130 CE)']",Lasombra Antediluvian,https://whitewolf.fandom.com/wiki/Lasombra_Antediluvian,unknown,
124,Lasombra antitribu,8th,Stephen Lenoir (1503),Timothy Leaver,https://whitewolf.fandom.com/wiki/Timothy_Leaver,,
125,Lasombra,9th,,Stephen Lenoir,https://whitewolf.fandom.com/wiki/Stephen_Lenoir,Timothy Leaver,https://whitewolf.fandom.com/wiki/Timothy_Leaver
126,Lasombra,,,Library Lasombra,https://whitewolf.fandom.com/wiki/Library_Lasombra,,
127,Lasombra,6th,,Marcus Licinius,https://whitewolf.fandom.com/wiki/Marcus_Licinius,Zarathustra,https://whitewolf.fandom.com/wiki/Zarathustra
128,Lasombra,11th,,Lin Baloh,https://whitewolf.fandom.com/wiki/Lin_Baloh,Unknown,
129,Lasombra,8th,,Lisette Illuminada,https://whitewolf.fandom.com/wiki/Lisette_Illuminada,Juan Antonio Ramierz y Alvarez de Santiago,https://whitewolf.fandom.com/wiki/Juan_Antonio_Ramierz_y_Alvarez_de_Santiago
130,Lasombra,5th,Unnamed,Esperanza Lucifer,https://whitewolf.fandom.com/wiki/Esperanza_Lucifer,"""Mary""",
131,Lasombra antitribu,unknown,,Alfonso López,https://whitewolf.fandom.com/wiki/Alfonso_L%C3%B3pez,unknown,
132,Lasombra,8th,"['Sarah (402)', 'Peter (407)']",Magnus,https://whitewolf.fandom.com/wiki/Magnus,Ectoris,https://whitewolf.fandom.com/wiki/Ectoris
133,Lasombra antitribu,5th,Few/several,Malaii,https://whitewolf.fandom.com/wiki/Malaii,Montano,https://whitewolf.fandom.com/wiki/Montano
134,Lasombra,8th,,Aleksandr Malenkov,https://whitewolf.fandom.com/wiki/Aleksandr_Malenkov,Talley,https://whitewolf.fandom.com/wiki/Talley
135,Lasombra,6th,Eudes de Saint-Gilles (925),Malzediel,https://whitewolf.fandom.com/wiki/Malzediel,,
136,Kiasyd (formerly Lasombra),5th,"['The Arcadian', 'Bartholomew', 'Hrotsuitha']",Marconius,https://whitewolf.fandom.com/wiki/Marconius,Unknown,
137,,7th,Badr,Marcos (Lasombra),https://whitewolf.fandom.com/wiki/Marcos_(Lasombra),,
138,Lasombra,6th,,Lord Marcus,https://whitewolf.fandom.com/wiki/Lord_Marcus,Unknown,
139,Lasombra,10th,,Lucy Markowitz,https://whitewolf.fandom.com/wiki/Lucy_Markowitz,Unknown,
140,Lasombra,6th,,Zamra Matoub,https://whitewolf.fandom.com/wiki/Zamra_Matoub,Nahir,https://whitewolf.fandom.com/wiki/Nahir
141,Lasombra,8th,,Matteo,https://whitewolf.fandom.com/wiki/Matteo,Lucita de Aragón,https://whitewolf.fandom.com/wiki/Lucita_de_Arag%C3%B3n
142,Lasombra,unknown,,Don Medina Sidonia,https://whitewolf.fandom.com/wiki/Don_Medina_Sidonia,Doña Beatriz,https://whitewolf.fandom.com/wiki/Do%C3%B1a_Beatriz
143,Lasombra,4th,Many more,Khanom Mehr,https://whitewolf.fandom.com/wiki/Khanom_Mehr,Lasombra Antediluvian,https://whitewolf.fandom.com/wiki/Lasombra_Antediluvian
144,Lasombra,,,Menard,https://whitewolf.fandom.com/wiki/Menard,,
145,Lasombra,,,Armando Mendes,https://whitewolf.fandom.com/wiki/Armando_Mendes,,
146,Lasombra,?,,Menuven,https://whitewolf.fandom.com/wiki/Menuven,Unknown,
147,Lasombra,unknown,,Aconia Messalina,https://whitewolf.fandom.com/wiki/Aconia_Messalina,unknown,
148,Lasombra,6th,,Misery,https://whitewolf.fandom.com/wiki/Misery,Marcus Vitel,https://whitewolf.fandom.com/wiki/Marcus_Vitel
149,Lasombra,9th,Cameron (1984),Molita,https://whitewolf.fandom.com/wiki/Molita,,
150,Lasombra,10th,,Leila Monroe,https://whitewolf.fandom.com/wiki/Leila_Monroe,The Caballero,
151,Lasombra antitribu,4th,"['Malaii', 'Numerous']",Montano,https://whitewolf.fandom.com/wiki/Montano,Lasombra Antediluvian,https://whitewolf.fandom.com/wiki/Lasombra_Antediluvian
152,Lasombra,unknown,"['Jeanne Le Duc (Destroyed)', 'Sondra (Destroyed)']",Montrovant,https://whitewolf.fandom.com/wiki/Montrovant,Claudius Eugenio,https://whitewolf.fandom.com/wiki/Claudius_Eugenio
153,Lasombra,"['7th (originally)', '6th (through diablerie)']","['Lucita de Aragón (1190)', ""Fulgencio d'Idalia"", 'María Sandoza']",Ambrosio Luis Monçada,https://whitewolf.fandom.com/wiki/Ambrosio_Luis_Mon%C3%A7ada,Silvester de Ruiz[2],https://whitewolf.fandom.com/wiki/Silvester_de_Ruiz
154,Lasombra,unknown,,Barry Morn,https://whitewolf.fandom.com/wiki/Barry_Morn,,
155,Lasombra,,,Mysancta,https://whitewolf.fandom.com/wiki/Mysancta,,
156,Lasombra,7th,,Nabatean,https://whitewolf.fandom.com/wiki/Nabatean,Antipater of the Hoof,https://whitewolf.fandom.com/wiki/Antipater
157,Lasombra,5th,Zamra Matoub,Nahir,https://whitewolf.fandom.com/wiki/Nahir,Tersa,https://whitewolf.fandom.com/wiki/Tersa
158,Lasombra,6th,"['Alfonzo of Venice (895)', 'Magdalena Castelucci Borcellino (933)', 'Guilelmo Aliprando (1049)']",Narses,https://whitewolf.fandom.com/wiki/Narses,Galerius,https://whitewolf.fandom.com/wiki/Galerius
159,Lasombra,unknown,,Niccolo (Lasombra),https://whitewolf.fandom.com/wiki/Niccolo_(Lasombra),Rudesi,https://whitewolf.fandom.com/wiki/Rudesi
160,Lasombra,,,Nicolao,https://whitewolf.fandom.com/wiki/Nicolao,,
161,Lasombra,,,Yewon Ong,https://whitewolf.fandom.com/wiki/Yewon_Ong,,
162,Lasombra (presumed),,,Veronica Ortega,https://whitewolf.fandom.com/wiki/Veronica_Ortega,,
0,Lasombra,8th,,Alfonso Palacios,https://whitewolf.fandom.com/wiki/Alfonso_Palacios,Fernando de Rincón,https://whitewolf.fandom.com/wiki/Fernando_de_Rinc%C3%B3n
1,Lasombra,"['10th (Originally)', '9th (First Diablerie)', '8th (Through Diablerie)', '7th (Through Diablerie)']",,Percival,https://whitewolf.fandom.com/wiki/Percival,Ermenegildo,https://whitewolf.fandom.com/wiki/Ermenegildo
2,Lasombra,9th,,Peter the Humble,https://whitewolf.fandom.com/wiki/Peter_the_Humble,Magnus,https://whitewolf.fandom.com/wiki/Magnus
3,Lasombra,7th,Maria D'Agostino (977),Pietro,https://whitewolf.fandom.com/wiki/Pietro,,
4,Lasombra,,,Prospero (Milan),https://whitewolf.fandom.com/wiki/Prospero_(Milan),,
5,Lasombra,10th,,Hester Reed,https://whitewolf.fandom.com/wiki/Hester_Reed,Anthony Ruiz,https://whitewolf.fandom.com/wiki/Anthony_Ruiz
6,Lasombra,unknown,,Ignacio Rinieri,https://whitewolf.fandom.com/wiki/Ignacio_Rinieri,unknown,
7,Lasombra,13th,,Araceli Rivera,https://whitewolf.fandom.com/wiki/Araceli_Rivera,Clova Haines,https://whitewolf.fandom.com/wiki/Clova_Haines
8,Lasombra,unknown,,Rosa,https://whitewolf.fandom.com/wiki/Rosa,Rudesi,https://whitewolf.fandom.com/wiki/Rudesi
9,Lasombra,11th,,Alfie Rossellini,https://whitewolf.fandom.com/wiki/Alfie_Rossellini,Unknown,
10,Lasombra,unknown,,Roxana,https://whitewolf.fandom.com/wiki/Roxana,,
11,Lasombra,unknown,Niccolo,Rudesi,https://whitewolf.fandom.com/wiki/Rudesi,,
12,Lasombra,11th,"['The Courier (player dependent)', 'Numerous unnamed']",Millicent Rue,https://whitewolf.fandom.com/wiki/Millicent_Rue,,
13,Lasombra,5th,,Marcellus Rufus,https://whitewolf.fandom.com/wiki/Marcellus_Rufus,Boukephos,https://whitewolf.fandom.com/wiki/Boukephos
14,Lasombra,9th,Hester Reed (1981),Anthony Ruiz,https://whitewolf.fandom.com/wiki/Anthony_Ruiz,,
15,Lasombra,7th,Pacifico Grillati (980),Paliuro Rustucci,https://whitewolf.fandom.com/wiki/Paliuro_Rustucci,Enrico,https://whitewolf.fandom.com/wiki/Enrico
16,Lasombra,unknown,,Fatima Saieed,https://whitewolf.fandom.com/wiki/Fatima_Saieed,unknown,
17,Lasombra,7th,,María Sandoza,https://whitewolf.fandom.com/wiki/Mar%C3%ADa_Sandoza,Ambrosio Luis Monçada,https://whitewolf.fandom.com/wiki/Ambrosio_Luis_Mon%C3%A7ada
18,Lasombra,5th,,Sebastian (Gratiano's childe),https://whitewolf.fandom.com/wiki/Sebastian_(Gratiano%27s_childe),Gratiano de Veronese,https://whitewolf.fandom.com/wiki/Gratiano_de_Veronese
19,Lasombra,,,Sebastian (Lasombra),https://whitewolf.fandom.com/wiki/Sebastian_(Lasombra),Borges,https://whitewolf.fandom.com/wiki/Borges
20,Lasombra,unknown,,Javier Serrano,https://whitewolf.fandom.com/wiki/Javier_Serrano,,
21,Lasombra (probably),4th (possibly),,Shalim,https://whitewolf.fandom.com/wiki/Shalim,Lasombra Antediluvian (possibly),https://whitewolf.fandom.com/wiki/Lasombra_Antediluvian
22,Lasombra,11th,,Angelica Shawn,https://whitewolf.fandom.com/wiki/Angelica_Shawn,Warrior,
23,Lasombra,7th,Carolina Valez (1957),Tobias Smith,https://whitewolf.fandom.com/wiki/Tobias_Smith,"""Unknown""",
24,Lasombra,,,Julia Sowinski,https://whitewolf.fandom.com/wiki/Julia_Sowinski,Caren,https://whitewolf.fandom.com/wiki/Caren
25,Lasombra,10th,Kandy Kaine (1989),Paulette Strohmer,https://whitewolf.fandom.com/wiki/Paulette_Strohmer,,
26,Lasombra or Ventrue,8th,,Mireia Subira,https://whitewolf.fandom.com/wiki/Mireia_Subira,Ramon Vera,https://whitewolf.fandom.com/wiki/Ramon_Vera
27,Lasombra,"9th (through diablerie)
10th (originally)",,Julius Sutphen,https://whitewolf.fandom.com/wiki/Julius_Sutphen,Catherine Esposito,https://whitewolf.fandom.com/wiki/Catherine_Esposito
