,Clan,Generation,Sire,Childer,Name,Link,Sire_Link
19,"Cappadocian Harbinger (Formerly)
Harbingers of Skulls",9th,Unknown,,Erebus (Harbinger of Skulls),https://whitewolf.fandom.com/wiki/Erebus_(Harbinger_of_Skulls),
20,Cappadocian,9th,Jervais,"['Mercurio', 'Serena Praha']",Garinol,https://whitewolf.fandom.com/wiki/Garinol,https://whitewolf.fandom.com/wiki/Jervais_(Cappadocian)
21,Cappadocian (Giovanni),,,,Alvarez Giovanni,https://whitewolf.fandom.com/wiki/Alvarez_Giovanni,
22,Hecata (Cappadocian),"5th (Through diablerie)
6th (Originally)",Constancia,"['Lucretia Giovanni (1205)', 'Gillespi Giovanni', 'Baldesar Rossellini (1446)']",Ambrogino Giovanni,https://whitewolf.fandom.com/wiki/Ambrogino_Giovanni,https://whitewolf.fandom.com/wiki/Constancia
23,Cappadocian / Giovanni,"['4th (originally)', '3rd (through diablerie)']",Cappadocius,"['Claudius Giovanni (1035 CE)', 'Ignazio Giovanni']",Augustus Giovanni,https://whitewolf.fandom.com/wiki/Augustus_Giovanni,https://whitewolf.fandom.com/wiki/Cappadocius
24,Cappadocian / Giovanni,5th (possibly 4th),Augustus Giovanni,"['Marianna (1444)', 'Giuseppe Giovanni', 'Andreas Giovanni']",Claudius Giovanni,https://whitewolf.fandom.com/wiki/Claudius_Giovanni,https://whitewolf.fandom.com/wiki/Augustus_Giovanni
25,Cappadocian (Giovanni),6th,Claudius Giovanni,Markus Musa Giovanni (1080 CE),Giuseppe Giovanni,https://whitewolf.fandom.com/wiki/Giuseppe_Giovanni,https://whitewolf.fandom.com/wiki/Claudius_Giovanni
26,Cappadocian / Giovanni,unknown (Likely 5th),unknown (Likely Augustus Giovanni),,Ignazio Giovanni,https://whitewolf.fandom.com/wiki/Ignazio_Giovanni,https://whitewolf.fandom.com/wiki/Augustus_Giovanni
27,Cappadocians / Giovanni,6th,Unknown,,Justus Giovanni,https://whitewolf.fandom.com/wiki/Justus_Giovanni,
28,Cappadocian/Giovanni,"6th (through diablerie)
7th (originally)",Ambrogino Giovanni,Andreas Giovanni,Lucretia Giovanni,https://whitewolf.fandom.com/wiki/Lucretia_Giovanni,https://whitewolf.fandom.com/wiki/Ambrogino_Giovanni
29,Cappadocian (Giovanni),7th,Guisseppi Giovanni,,Markus Musa Giovanni,https://whitewolf.fandom.com/wiki/Markus_Musa_Giovanni,https://whitewolf.fandom.com/wiki/Guisseppi_Giovanni
30,Cappadocian,5th,Unknown,Hel-Blár (likely),Guðrunn,https://whitewolf.fandom.com/wiki/Gu%C3%B0runn,
31,Cappadocian,,Lucas Moravis,,Habakkuk,https://whitewolf.fandom.com/wiki/Habakkuk,https://whitewolf.fandom.com/wiki/Lucas_Moravis
32,Cappadocian (Lamia),,,,Jinno Hatsumi,https://whitewolf.fandom.com/wiki/Jinno_Hatsumi,
33,Cappadocian,4th,Ashur,"Enheduanna
Possibly numerous",Humuusa,https://whitewolf.fandom.com/wiki/Humuusa,https://whitewolf.fandom.com/wiki/Cappadocius
34,Cappadocian,8th,,Garinol (1099),Jervais (Cappadocian),https://whitewolf.fandom.com/wiki/Jervais_(Cappadocian),
35,"['Cappadocian (formerly)', 'Harbingers of Skulls (formerly)', 'Hecata (current)']",6th,Malenchaenos,,Khurshid,https://whitewolf.fandom.com/wiki/Khurshid,https://whitewolf.fandom.com/wiki/Malenchaenos
36,Cappadocian,4th,Cappadocius,Many unknown,Caias Koine,https://whitewolf.fandom.com/wiki/Caias_Koine,https://whitewolf.fandom.com/wiki/Cappadocius
37,Cappadocian,5th,,Amalia of Thrace (400 CE),Kyros of Antioch,https://whitewolf.fandom.com/wiki/Kyros_of_Antioch,
38,Cappadocian/Lamia,5th,Lazarus,Lamia bloodline,Lamia (Founder),https://whitewolf.fandom.com/wiki/Lamia_(Founder),https://whitewolf.fandom.com/wiki/Lazarus
39,Cappadocian,4th,Cappadocius,"['Angelique (1st century)', 'Lamia', 'Baron Samedi (possibly)']",Lazarus,https://whitewolf.fandom.com/wiki/Lazarus,https://whitewolf.fandom.com/wiki/Cappadocius
40,Cappadocian,,,,Anisa Marianna Lopez,https://whitewolf.fandom.com/wiki/Anisa_Marianna_Lopez,
41,Cappadocian,4th,Laodice,"Alexia Theusa (308 BCE)
Likely several",Mahatma,https://whitewolf.fandom.com/wiki/Mahatma,https://whitewolf.fandom.com/wiki/Laodice
42,Cappadocian,5th,unknown,"['Apacia (Late 500s BCE)', 'Khurshid (Late 600s CE)']",Malenchaenos,https://whitewolf.fandom.com/wiki/Malenchaenos,
43,Cappadocian,7th,Theophilis,,Marcus (Cappadocian),https://whitewolf.fandom.com/wiki/Marcus_(Cappadocian),
44,"['Cappadocian (Giovanni) (formerly)', 'Hecata (Harbingers of Ashur)']",6th,Claudius Giovanni,,Marianna (VTM),https://whitewolf.fandom.com/wiki/Marianna_(VTM),https://whitewolf.fandom.com/wiki/Claudius_Giovanni
45,Cappadocian,10th,Garinol,,Mercurio (Cappadocian),https://whitewolf.fandom.com/wiki/Mercurio_(Cappadocian),https://whitewolf.fandom.com/wiki/Garinol
46,Hecata (Harbingers of Ashur),,,,Mora,https://whitewolf.fandom.com/wiki/Mora,
47,Cappadocian,,,Habakkuk (1136),Lucas Moravis,https://whitewolf.fandom.com/wiki/Lucas_Moravis,
48,Cappadocian,,,,Penelope,https://whitewolf.fandom.com/wiki/Penelope,
49,Hecata (Cappadocian),10th,Garinol,,Serena Praha,https://whitewolf.fandom.com/wiki/Serena_Praha,https://whitewolf.fandom.com/wiki/Garinol
50,Cappadocian,7th,Apacia,,Rudori,https://whitewolf.fandom.com/wiki/Rudori,https://whitewolf.fandom.com/wiki/Apacia
51,Cappadocian,7th,Amalia of Thrace,"['Ladislav', 'Erika']",Bela Rusenko,https://whitewolf.fandom.com/wiki/Bela_Rusenko,https://whitewolf.fandom.com/wiki/Amalia_of_Thrace
52,Cappadocian,5th,Byzar,The Emperors,Alexia Theusa,https://whitewolf.fandom.com/wiki/Alexia_Theusa,https://whitewolf.fandom.com/wiki/Byzar
53,Cappadocian,Unknown (4th if she sired Samedi),"['Unknown', 'Cappadocius (Presumbly)']",Baron Samedi (Presumbly),Troglodytia,https://whitewolf.fandom.com/wiki/Troglodytia,https://whitewolf.fandom.com/wiki/Cappadocius
54,Harbingers of Skulls/Harbingers of Ashur (Supposedly),5th,Japheth,,Unre,https://whitewolf.fandom.com/wiki/Unre,https://whitewolf.fandom.com/wiki/Japheth
55,"Harbingers of Skulls
Formerly Cappadocian",8th,Unknown,,La Viuda Blanca,https://whitewolf.fandom.com/wiki/La_Viuda_Blanca,
56,Cappadocian,8th,,The Little Deaths,Zohreh,https://whitewolf.fandom.com/wiki/Zohreh,
57,Hecata (Asano),11th,Heinrich König,,Hiromitsu Asano,https://whitewolf.fandom.com/wiki/Hiromitsu_Asano,https://whitewolf.fandom.com/wiki/Heinrich_K%C3%B6nig
58,Giovanni,,,,Luisa Calabria,https://whitewolf.fandom.com/wiki/Luisa_Calabria,
60,Giovanni (Pisanob family),7th,Pochtli,,Mireya Díaz y de Hierro,https://whitewolf.fandom.com/wiki/Mireya_D%C3%ADaz_y_de_Hierro,https://whitewolf.fandom.com/wiki/Pochtli
61,Hecata (Milliner),12th,Arthur Milliner,,Christopher Deacon,https://whitewolf.fandom.com/wiki/Christopher_Deacon,https://whitewolf.fandom.com/wiki/Arthur_Milliner
62,Giovanni,unknown,,,Antonio della Passaglia,https://whitewolf.fandom.com/wiki/Antonio_della_Passaglia,
63,Giovanni (Della Passaglia),8th,,,Martino della Passaglia,https://whitewolf.fandom.com/wiki/Martino_della_Passaglia,
64,Giovanni Ghoul,,,,Valentina della Passaglia,https://whitewolf.fandom.com/wiki/Valentina_della_Passaglia,
65,Hecata (Giovanni),11th,Unknown,The Courier (player dependent),Chiara della Passiglia,https://whitewolf.fandom.com/wiki/Chiara_della_Passiglia,
66,Giovanni,12th,Stephano Giovanni,,Paul DiCarlo,https://whitewolf.fandom.com/wiki/Paul_DiCarlo,https://whitewolf.fandom.com/wiki/Stephano_Giovanni
67,Giovanni,8th,Unknown,,Maria DiMatto,https://whitewolf.fandom.com/wiki/Maria_DiMatto,
68,Toreador antitribu,,,,Alec Duchesne,https://whitewolf.fandom.com/wiki/Alec_Duchesne,
69,Giovanni (Dunsirn),13th,Unknown,,Diarmid Dunsirn,https://whitewolf.fandom.com/wiki/Diarmid_Dunsirn,
70,Hecata (Dunsirn),"7th (through diablerie)
8th (Presumably originally)",Archibald Dunsirn I,,Euan Dunsirn,https://whitewolf.fandom.com/wiki/Euan_Dunsirn,
71,Giovanni (Dunsirn),13th,Unknown,,Lorrie Dunsirn,https://whitewolf.fandom.com/wiki/Lorrie_Dunsirn,
72,Giovanni,unknown,,,Dominic G. Fellowes,https://whitewolf.fandom.com/wiki/Dominic_G._Fellowes,
73,Giovanni,11th,Unknown,,Thomas Fountaindike,https://whitewolf.fandom.com/wiki/Thomas_Fountaindike,
74,Giovanni,8th,del Georgio Giovanni,,Genevra,https://whitewolf.fandom.com/wiki/Genevra,https://whitewolf.fandom.com/wiki/Del_Georgio_Giovanni
75,Giovanni,8th,Unnamed,"['Eric Milliner', 'Kay Polerno (2001)']",Accorri Giovanni,https://whitewolf.fandom.com/wiki/Accorri_Giovanni,
76,Giovanni,unknown,,,Alessandro Giovanni,https://whitewolf.fandom.com/wiki/Alessandro_Giovanni,
77,Giovanni,10th,,Marciana Giovanni (1924),Almodo Giovanni,https://whitewolf.fandom.com/wiki/Almodo_Giovanni,
80,Giovanni,8th,Lucretia Giovanni Capriccio,"['Jason Milliner', 'Francis Milliner[1]']",Andreas Giovanni (Boston),https://whitewolf.fandom.com/wiki/Andreas_Giovanni_(Boston),https://whitewolf.fandom.com/wiki/Lucretia_Giovanni_Capriccio
81,Giovanni,5th,Claudius Giovanni,Lisandro Giovanni (1721),Andreas Giovanni (Chaos Factor),https://whitewolf.fandom.com/wiki/Andreas_Giovanni_(Chaos_Factor),https://whitewolf.fandom.com/wiki/Claudius_Giovanni
82,Giovanni,unknown,,,Andreas Niccolo Giovanni,https://whitewolf.fandom.com/wiki/Andreas_Niccolo_Giovanni,
83,Hecata (Giovanni),10th,,"['Christof Giovanni', 'Franziska Giovanni']",Anja Giovanni,https://whitewolf.fandom.com/wiki/Anja_Giovanni,
84,Giovanni,unknown,,,Antonio Giovanni,https://whitewolf.fandom.com/wiki/Antonio_Giovanni,
86,Giovanni,8th,Patricia Giovanni,,Benedict Giovanni,https://whitewolf.fandom.com/wiki/Benedict_Giovanni,https://whitewolf.fandom.com/wiki/Patricia_Giovanni
87,Giovanni,,,,Benito Giovanni,https://whitewolf.fandom.com/wiki/Benito_Giovanni,
88,Giovanni,unknown,Unknown,,Bruno Giovanni,https://whitewolf.fandom.com/wiki/Bruno_Giovanni,
89,Giovanni,,,,Carlita Giovanni,https://whitewolf.fandom.com/wiki/Carlita_Giovanni,
90,Giovanni,7th,Mario Giovanni,,Carlo Giovanni,https://whitewolf.fandom.com/wiki/Carlo_Giovanni,https://whitewolf.fandom.com/wiki/Mario_Giovanni
91,Hecata (Giovanni),7th,Anna Maria Giovanni,,Carmen Giovanni,https://whitewolf.fandom.com/wiki/Carmen_Giovanni,https://whitewolf.fandom.com/wiki/Anna_Maria_Giovanni
92,Giovanni,,,,Carmina Giovanni,https://whitewolf.fandom.com/wiki/Carmina_Giovanni,
93,Hecata (Giovanni),11th,Anja Giovanni,,Christof Giovanni,https://whitewolf.fandom.com/wiki/Christof_Giovanni,https://whitewolf.fandom.com/wiki/Anja_Giovanni
95,Giovanni,?,?,?,Crocetta Giovanni,https://whitewolf.fandom.com/wiki/Crocetta_Giovanni,
96,Giovanni,unknown,Lorenzo Putanesca,,Dante Giovanni,https://whitewolf.fandom.com/wiki/Dante_Giovanni,https://whitewolf.fandom.com/wiki/Lorenzo_Putanesca
97,Giovanni,7th,,Genevra,Del Georgio Giovanni,https://whitewolf.fandom.com/wiki/Del_Georgio_Giovanni,
98,Giovanni,6th,Unknown,,Diego Giovanni,https://whitewolf.fandom.com/wiki/Diego_Giovanni,
99,Giovanni,possibly 9th,,,Domenic Giovanni,https://whitewolf.fandom.com/wiki/Domenic_Giovanni,
100,Giovanni,9th,Bruno Mazzio,,Donatello Giovanni,https://whitewolf.fandom.com/wiki/Donatello_Giovanni,https://whitewolf.fandom.com/wiki/Bruno_Mazzio
101,Hecata (Giovanni),,Tommaso Giovanni,"['Anna (Ghoul)', 'Rosa (Ghoul)']",Elena Giovanni,https://whitewolf.fandom.com/wiki/Elena_Giovanni,https://whitewolf.fandom.com/wiki/Tommaso_Giovanni
102,Giovanni,Presumed 6th,Unknown,,Enzo Giovanni,https://whitewolf.fandom.com/wiki/Enzo_Giovanni,
103,Giovanni,8th,,Isabel Giovanni (1714),Fortunato Giovanni,https://whitewolf.fandom.com/wiki/Fortunato_Giovanni,
104,Giovanni,7th,,Lupo Giovanni (1932),Francesco Giovanni,https://whitewolf.fandom.com/wiki/Francesco_Giovanni,
105,Hecata (Giovanni),11th,Anja Giovanni,,Franziska Giovanni,https://whitewolf.fandom.com/wiki/Franziska_Giovanni,https://whitewolf.fandom.com/wiki/Anja_Giovanni
106,Giovanni,8th,unknown,,Gianmaria Giovanni,https://whitewolf.fandom.com/wiki/Gianmaria_Giovanni,
108,Giovanni,unknown,,,Guillaume Giovanni,https://whitewolf.fandom.com/wiki/Guillaume_Giovanni,
110,Hecata (Giovanni),9th,Fortunato Giovanni,Primo Giovanni (2001),Isabel Giovanni,https://whitewolf.fandom.com/wiki/Isabel_Giovanni,https://whitewolf.fandom.com/wiki/Fortunato_Giovanni
111,Giovanni,unknown,Unknown,,Jarthis Giovanni,https://whitewolf.fandom.com/wiki/Jarthis_Giovanni,
113,Giovanni,6th,Andreas Giovanni,Many more,Lisandro Giovanni,https://whitewolf.fandom.com/wiki/Lisandro_Giovanni,https://whitewolf.fandom.com/wiki/Andreas_Giovanni_(Chaos_Factor)
115,Giovanni,8th,Francesco Giovanni,,Lupo Giovanni,https://whitewolf.fandom.com/wiki/Lupo_Giovanni,https://whitewolf.fandom.com/wiki/Francesco_Giovanni
116,Giovanni,"['6th (Stated in the novel, Bloodwar; mistake made by author)', ""10th (Logically, going by Pietro's Generation)""]",Pietro Giovanni,,Madelaine Giovanni,https://whitewolf.fandom.com/wiki/Madelaine_Giovanni,https://whitewolf.fandom.com/wiki/Pietro_Giovanni
117,Giovanni,11th,Almodo Giovanni,,Marciana Giovanni,https://whitewolf.fandom.com/wiki/Marciana_Giovanni,https://whitewolf.fandom.com/wiki/Almodo_Giovanni
118,Giovanni,6th,Unknown,Carlo Giovanni (In World of Future Darkness canon),Mario Giovanni,https://whitewolf.fandom.com/wiki/Mario_Giovanni,
120,Giovanni,,,,Michael Giovanni,https://whitewolf.fandom.com/wiki/Michael_Giovanni,
121,Giovanni,10th,,,Ornella Giovanni,https://whitewolf.fandom.com/wiki/Ornella_Giovanni,
122,Giovanni,10th,Raoul Giovanni,Stephano Giovanni,Paulo Giovanni,https://whitewolf.fandom.com/wiki/Paulo_Giovanni,https://whitewolf.fandom.com/wiki/Raoul_Giovanni
123,Giovanni/Cappadocian,9th,Vincenzo Giovanni,Madelaine Giovanni,Pietro Giovanni,https://whitewolf.fandom.com/wiki/Pietro_Giovanni,https://whitewolf.fandom.com/wiki/Vincenzo_Giovanni
124,Giovanni,10th,Isabel Giovanni,,Primo Giovanni,https://whitewolf.fandom.com/wiki/Primo_Giovanni,https://whitewolf.fandom.com/wiki/Isabel_Giovanni
125,Giovanni,9th,,Paulo Giovanni,Raoul Giovanni,https://whitewolf.fandom.com/wiki/Raoul_Giovanni,
126,Giovanni,9th,,Salvatore Giovanni (1887),Rosario Giovanni,https://whitewolf.fandom.com/wiki/Rosario_Giovanni,
127,Giovanni,10th,Rosario Giovanni,,Salvatore Giovanni,https://whitewolf.fandom.com/wiki/Salvatore_Giovanni,https://whitewolf.fandom.com/wiki/Rosario_Giovanni
128,Giovanni,11th,Paulo Giovanni,Paul DiCarlo,Stephano Giovanni,https://whitewolf.fandom.com/wiki/Stephano_Giovanni,https://whitewolf.fandom.com/wiki/Paulo_Giovanni
129,Hecata (Giovanni),,,Elena Giovanni,Tommaso Giovanni,https://whitewolf.fandom.com/wiki/Tommaso_Giovanni,
130,Giovanni,unknown,,,Ugolino Giovanni,https://whitewolf.fandom.com/wiki/Ugolino_Giovanni,
131,Giovanni,8th,,Pietro Giovanni (1043),Vincenzo Giovanni,https://whitewolf.fandom.com/wiki/Vincenzo_Giovanni,
132,Giovanni,,,,Vincetti Marcus Giovanni,https://whitewolf.fandom.com/wiki/Vincetti_Marcus_Giovanni,
133,Giovanni (Ghiberti),6th,Unknown,Kenneth Stahl,Henry of Saxony,https://whitewolf.fandom.com/wiki/Henry_of_Saxony,
134,Giovanni (Königs),10th,,Hiromitsu Asano (1956),Heinrich König,https://whitewolf.fandom.com/wiki/Heinrich_K%C3%B6nig,
135,Hecata (Giovanni-König),12th,Aksel König,,Alek König,https://whitewolf.fandom.com/wiki/Alek_K%C3%B6nig,
136,Tremere,5th,Xavier de Cincao,,Tomás Marcello,https://whitewolf.fandom.com/wiki/Tom%C3%A1s_Marcello,https://whitewolf.fandom.com/wiki/Xavier_de_Cincao
138,Giovanni,8th,,Donatello Giovanni (1821),Bruno Mazzio,https://whitewolf.fandom.com/wiki/Bruno_Mazzio,
139,Giovanni (Milliner),11th,,Christopher Deacon (2002),Arthur Milliner,https://whitewolf.fandom.com/wiki/Arthur_Milliner,
140,Hecata (Milliner),11th,,Heather Milliner,Fenway Milliner,https://whitewolf.fandom.com/wiki/Fenway_Milliner,
141,Giovanni,"9th (originally)
8th (through diablerie)",Andreas Giovanni,,Francis Milliner,https://whitewolf.fandom.com/wiki/Francis_Milliner,https://whitewolf.fandom.com/wiki/Andreas_Giovanni
142,Hecata (Milliner),12th,Fenway Milliner,,Heather Milliner,https://whitewolf.fandom.com/wiki/Heather_Milliner,https://whitewolf.fandom.com/wiki/Fenway_Milliner
143,Giovanni (Milliner),9th,Andreas Giovanni,,Jason Milliner,https://whitewolf.fandom.com/wiki/Jason_Milliner,https://whitewolf.fandom.com/wiki/Andreas_Giovanni_(Boston)
144,Giovanni (Milliner),,,,Lia Milliner,https://whitewolf.fandom.com/wiki/Lia_Milliner,
145,Giovanni/Hecata (Pisanob),6th,Unknown,"Mireya Díaz y de Hierro (1929 CE)
Numerous",Pochtli,https://whitewolf.fandom.com/wiki/Pochtli,
146,Giovanni,9th,Accorri Giovanni,,Kay Polerno,https://whitewolf.fandom.com/wiki/Kay_Polerno,https://whitewolf.fandom.com/wiki/Accorri_Giovanni
147,Giovanni (Putanesca),8th,,Shlomo Rothstein,Julietta Putanesca,https://whitewolf.fandom.com/wiki/Julietta_Putanesca,
148,Giovanni (Putanesca),unknown,,Dante Giovanni,Lorenzo Putanesca,https://whitewolf.fandom.com/wiki/Lorenzo_Putanesca,
149,Hecata (Puttanesca),11th,Niklas Puttanesca,,Jan Puttanesca,https://whitewolf.fandom.com/wiki/Jan_Puttanesca,https://whitewolf.fandom.com/wiki/Niklas_Puttanesca
150,Hecata (Puttanesca),10th,,Jan Puttanesca (2010),Niklas Puttanesca,https://whitewolf.fandom.com/wiki/Niklas_Puttanesca,
151,Giovanni,,,,Dante Rosselini,https://whitewolf.fandom.com/wiki/Dante_Rosselini,
152,Lasombra,11th,Unknown,,Alfie Rossellini,https://whitewolf.fandom.com/wiki/Alfie_Rossellini,
153,Cappadocian/Giovanni,6th,Ambrogino Giovanni,Rosaura Rossellini (1447 CE),Baldesar Rossellini,https://whitewolf.fandom.com/wiki/Baldesar_Rossellini,https://whitewolf.fandom.com/wiki/Ambrogino_Giovanni
154,Giovanni,7th,Baldesar Rossellini,,Rosaura Rossellini,https://whitewolf.fandom.com/wiki/Rosaura_Rossellini,https://whitewolf.fandom.com/wiki/Baldesar_Rossellini
155,Giovanni,9th,Julietta Putanesca,,Shlomo Rothstein,https://whitewolf.fandom.com/wiki/Shlomo_Rothstein,https://whitewolf.fandom.com/wiki/Julietta_Putanesca
156,Giovanni,8th,Giovanni del Georgio,,Paolo Sardenzo,https://whitewolf.fandom.com/wiki/Paolo_Sardenzo,
157,Giovanni,unknown,,,Amadeo Schieri,https://whitewolf.fandom.com/wiki/Amadeo_Schieri,
158,Giovanni (Ghiberti family),7th,Henry of Saxony,,Kenneth Stahl,https://whitewolf.fandom.com/wiki/Kenneth_Stahl,https://whitewolf.fandom.com/wiki/Henry_of_Saxony
159,Giovanni,unknown,unknown,,Chas Giovanni Tello,https://whitewolf.fandom.com/wiki/Chas_Giovanni_Tello,
160,Hecata (Giovanni),13th,Peter St. John,,Anoush Vardanian,https://whitewolf.fandom.com/wiki/Anoush_Vardanian,
161,Caitiff,9th,Unknown Giovanni,,Zal,https://whitewolf.fandom.com/wiki/Zal,https://whitewolf.fandom.com/wiki/Giovanni
163,Hecata,8th,,,Annika,https://whitewolf.fandom.com/wiki/Annika,
165,Hecata,11th,,Torondo (ghoul),Henry Banerjee,https://whitewolf.fandom.com/wiki/Henry_Banerjee,
166,Hecata (Harbingers of Skulls/Ashur),?,?,,Mordechai Ben-Nun,https://whitewolf.fandom.com/wiki/Mordechai_Ben-Nun,
171,unknown,,,,Florentina Conti,https://whitewolf.fandom.com/wiki/Florentina_Conti,
172,Hecata,,,,Cat Costello,https://whitewolf.fandom.com/wiki/Cat_Costello,
176,Hecata (Samedi),12th,Dajuste,,Bastian Ducasse,https://whitewolf.fandom.com/wiki/Bastian_Ducasse,https://whitewolf.fandom.com/wiki/Dajuste
189,Hecata (Harbingers of Ashur),10th,Ilduara,,Holliday Hall,https://whitewolf.fandom.com/wiki/Holliday_Hall,
191,Hecata (Rossellini),11th,Benito Rosselini,,Jamilah Ianni,https://whitewolf.fandom.com/wiki/Jamilah_Ianni,https://whitewolf.fandom.com/wiki/Benito_Rosselini
195,Samedi,,,,Ghede L'Oraille,https://whitewolf.fandom.com/wiki/Ghede_L%27Oraille,
197,Hecata (Harbingers of Ashur),9th,Zohreh,,The Little Deaths,https://whitewolf.fandom.com/wiki/The_Little_Deaths,https://whitewolf.fandom.com/wiki/Zohreh
205,Nagaraja,,,,Ravinder Narula,https://whitewolf.fandom.com/wiki/Ravinder_Narula,
210,Hecata,13th,Unknown,,Ratkyd,https://whitewolf.fandom.com/wiki/Ratkyd,
211,Hecata (Lamia),10th,Dora,,Raíz,https://whitewolf.fandom.com/wiki/Ra%C3%ADz,https://whitewolf.fandom.com/wiki/Dora
212,Hecata (Nasyon san an),5th,"['Troglodytia (Possibly under the alias of Queen Mother)', 'Lazarus (presumably)']","['Morlock', 'Genina (17th century)', 'Jorge de La Muerte (1732)', 'Reg Driscoll', 'Jack Dawson (19th century)', 'Brigette (Presumably)']",Doc San,https://whitewolf.fandom.com/wiki/Doc_San,https://whitewolf.fandom.com/wiki/Troglodytia
213,,14th,Unknown Woman,,Jürgen Schweigger,https://whitewolf.fandom.com/wiki/J%C3%BCrgen_Schweigger,
216,Nosferatu or Hecata,12th,,,Dexter Wilkins,https://whitewolf.fandom.com/wiki/Dexter_Wilkins,
217,Hecata,,,,Diya Yadav,https://whitewolf.fandom.com/wiki/Diya_Yadav,
