,Clan,Generation,Sire,Sire_Link,Childer,Name,Link
17,Nosferatu,8th,Parovich,https://whitewolf.fandom.com/wiki/Parovich,,Anastasia (Nosferatu),https://whitewolf.fandom.com/wiki/Anastasia_(Nosferatu)
18,Nosferatu (Nictuku),5th,Melachoate,https://whitewolf.fandom.com/wiki/Melachoate,Rasalon,Androvikus,https://whitewolf.fandom.com/wiki/Androvikus
19,Nosferatu,5th,The Matriarch,https://whitewolf.fandom.com/wiki/Matriarch_(VTM),"['Ahjan Shakkar', 'The Pawnbroker (398 CE)']",Angiwar,https://whitewolf.fandom.com/wiki/Angiwar
20,Nosferatu,8th,,,Alonzo Guillen (1832),Don Armando de Madrid,https://whitewolf.fandom.com/wiki/Don_Armando_de_Madrid
21,Nosferatu,9th,,,,Arnold (Nosferatu),https://whitewolf.fandom.com/wiki/Arnold_(Nosferatu)
22,Nosferatu,8th,,,"['Calebros (1780)', 'Emmett']",Augustin (New York),https://whitewolf.fandom.com/wiki/Augustin_(New_York)
23,Nosferatu,8th,Rabbat,https://whitewolf.fandom.com/wiki/Rabbat,Annette Moser,Augustin (Vienna),https://whitewolf.fandom.com/wiki/Augustin_(Vienna)
24,Nosferatu,9th,Lawrence Meeks,https://whitewolf.fandom.com/wiki/Lawrence_Meeks,,Avery (Nosferatu),https://whitewolf.fandom.com/wiki/Avery_(Nosferatu)
25,Nosferatu,,,,,Willem Axel,https://whitewolf.fandom.com/wiki/Willem_Axel
26,Nosferatu (Nictuku),4th,Absimiliard,https://whitewolf.fandom.com/wiki/Absimiliard,Likely several,Azazel (VTM),https://whitewolf.fandom.com/wiki/Azazel_(VTM)
27,Nosferatu (Nictuku in V20[1]),4th,Nosferatu Antediluvian,https://whitewolf.fandom.com/wiki/Nosferatu_Antediluvian,"['Gutka', 'Melitta Wallenberg', 'Siamko (rumored)', 'Poison Tooth', 'Sergei Voshkov']",Baba Yaga,https://whitewolf.fandom.com/wiki/Baba_Yaga
28,Nosferatu,?,Unknown,,,Barabus,https://whitewolf.fandom.com/wiki/Barabus
29,Nosferatu antitribu,11th,Don Carlos,,Blister,Aaron Bathurst,https://whitewolf.fandom.com/wiki/Aaron_Bathurst
30,Nosferatu,7th,Khalid,https://whitewolf.fandom.com/wiki/Khalid,,Edith Beaubien,https://whitewolf.fandom.com/wiki/Edith_Beaubien
31,Nosferatu,possibly 9th[1],,,,Beetleman,https://whitewolf.fandom.com/wiki/Beetleman
32,Nosferatu/Niktuku,"['Original Unknown', '6th (Diablerie)']",,,,Belato,https://whitewolf.fandom.com/wiki/Belato
33,Nosferatu,6th,Unknown,,Aine,Bhallaire,https://whitewolf.fandom.com/wiki/Bhallaire
34,Nosferatu,13th,Galileo,https://whitewolf.fandom.com/wiki/Galileo,,Orlando Bianchi,https://whitewolf.fandom.com/wiki/Orlando_Bianchi
35,Nosferatu antitribu,12th,Aaron Bathurst,https://whitewolf.fandom.com/wiki/Aaron_Bathurst,,Blister,https://whitewolf.fandom.com/wiki/Blister
36,Nosferatu,8th,Virginia,https://whitewolf.fandom.com/wiki/Virginia_(Nosferatu),"['Elucid', 'Poe']",Nathaniel Bordruff,https://whitewolf.fandom.com/wiki/Nathaniel_Bordruff
37,Nosferatu,"- 7th
- 6th (through Diablerie)",Unknown,,Parovich (1467),Boronisk,https://whitewolf.fandom.com/wiki/Boronisk
38,Nosferatu,,,,,Michel Bouchard,https://whitewolf.fandom.com/wiki/Michel_Bouchard
39,Nosferatu,Likely 12th or 13th,Glassjaw,https://whitewolf.fandom.com/wiki/Glassjaw,,Brawn,https://whitewolf.fandom.com/wiki/Brawn
40,Nosferatu Ghoul,,,,,Soren Brogaard,https://whitewolf.fandom.com/wiki/Soren_Brogaard
41,Nosferatu,7th,Elline the Husk,https://whitewolf.fandom.com/wiki/Elline_the_Husk,"['Jakob', 'Holger (ghoul)', 'Several others']",Belinde Buch,https://whitewolf.fandom.com/wiki/Belinde_Buch
42,Nosferatu,,,,,Bufo,https://whitewolf.fandom.com/wiki/Bufo
43,Nosferatu,7th,,,Clive Cooper (1884),John Bullock,https://whitewolf.fandom.com/wiki/John_Bullock
44,Nosferatu,possibly 8th or 9th,,,,Lenny Burkhead,https://whitewolf.fandom.com/wiki/Lenny_Burkhead
45,Nosferatu,,,,,Caleb,https://whitewolf.fandom.com/wiki/Caleb
46,Nosferatu,9th,Augustin,https://whitewolf.fandom.com/wiki/Augustin_(New_York),Kaius Leto (2000),Calebros,https://whitewolf.fandom.com/wiki/Calebros
47,Nosferatu,8th (possibly by diablerie),Tommy,https://whitewolf.fandom.com/wiki/Tommy,"['Wauneka (2005)', 'Salt (2017)']",Cedrick Calhoun,https://whitewolf.fandom.com/wiki/Cedrick_Calhoun
48,Nosferatu,8th,,,Juan Antonio (1964),Joseph Cambridge,https://whitewolf.fandom.com/wiki/Joseph_Cambridge
49,Nosferatu,unknown,,,,Bartolomeu Casson,https://whitewolf.fandom.com/wiki/Bartolomeu_Casson
50,Nosferatu,unknown,,,,Castillo,https://whitewolf.fandom.com/wiki/Castillo
51,Nosferatu antitribu,10th,Unknown,,,Raphael Catarari,https://whitewolf.fandom.com/wiki/Raphael_Catarari
52,Nosferatu antitribu,9th (possibly by diablerie),Humo,https://whitewolf.fandom.com/wiki/Humo,possibly Estaban Vasquez,Cicatriz,https://whitewolf.fandom.com/wiki/Cicatriz
53,Nosferatu,7th,,,,Madame Cloaca,https://whitewolf.fandom.com/wiki/Madame_Cloaca
54,Nosferatu,7th,Petrodon,https://whitewolf.fandom.com/wiki/Petrodon,,Cock Robin,https://whitewolf.fandom.com/wiki/Cock_Robin
55,Nosferatu,8th,John Bullock,https://whitewolf.fandom.com/wiki/John_Bullock,,Clive Cooper,https://whitewolf.fandom.com/wiki/Clive_Cooper
56,Nosferatu,12th,,,,Kieran Cotterill,https://whitewolf.fandom.com/wiki/Kieran_Cotterill
57,Nosferatu,,,,,Cranston,https://whitewolf.fandom.com/wiki/Cranston
58,Nosferatu,,,,,Gianni D'Angelo,https://whitewolf.fandom.com/wiki/Gianni_D%27Angelo
59,Nosferatu,,,,,Daedalus,https://whitewolf.fandom.com/wiki/Daedalus
60,Nosferatu,7th,,,,Alexander Danov,https://whitewolf.fandom.com/wiki/Alexander_Danov
61,Nosferatu,possibly 9th or 10th,,,,Daria,https://whitewolf.fandom.com/wiki/Daria
62,Nosferatu,10th,Poe,https://whitewolf.fandom.com/wiki/Poe_(Nosferatu),Gabriella,Charles Dawson,https://whitewolf.fandom.com/wiki/Charles_Dawson
63,Nosferatu,9th,,,Charles Dawson (1958),Poe (Nosferatu),https://whitewolf.fandom.com/wiki/Poe_(Nosferatu)
64,Nosferatu,"['7th[2]', '8th[3][4]']",Hilda Edelwood,https://whitewolf.fandom.com/wiki/Hilda_Edelwood,"['Thomas the Rat', 'Harold Tanner', 'Rea']",Richard de Worde,https://whitewolf.fandom.com/wiki/Richard_de_Worde
65,Nosferatu,,,,At least one,Demon Lover,https://whitewolf.fandom.com/wiki/Demon_Lover
66,Nosferatu,"['8th (originally)', '7th (through diablerie)']",Stanford Warwick,https://whitewolf.fandom.com/wiki/Stanford_Warwick,The Ghost in the Machine,Kurt Densch,https://whitewolf.fandom.com/wiki/Kurt_Densch
67,Nosferatu,13th,El Tiburón,https://whitewolf.fandom.com/wiki/El_Tibur%C3%B3n,,El Diablo Verde,https://whitewolf.fandom.com/wiki/El_Diablo_Verde
68,Nosferatu,,,,,Baron Dieudonne,https://whitewolf.fandom.com/wiki/Baron_Dieudonne
69,Nosferatu,7th,"['Mariennia', 'Josef von Bauren (adoptive)']",https://whitewolf.fandom.com/wiki/Josef_von_Bauren,Several/few,Federico DiPadua,https://whitewolf.fandom.com/wiki/Federico_DiPadua
70,Nosferatu,6th,Hauzal,,,Dondinni,https://whitewolf.fandom.com/wiki/Dondinni
71,Nosferatu (Nictuku),9th,Modian,https://whitewolf.fandom.com/wiki/Modian,The Courier (player dependent),Dove,https://whitewolf.fandom.com/wiki/Dove
72,Nosferatu,8th,Petra,https://whitewolf.fandom.com/wiki/Petra_(Yugoslavia),,Jara Drory,https://whitewolf.fandom.com/wiki/Jara_Drory
73,Nosferatu,5th,unknown,,Mnemach (47 BCE),Drutalos,https://whitewolf.fandom.com/wiki/Drutalos
74,Nosferatu,7th,Unknown,,Alberich,Jacob Durgal,https://whitewolf.fandom.com/wiki/Jacob_Durgal
75,Nosferatu,,,,,Caleb Duval,https://whitewolf.fandom.com/wiki/Caleb_Duval
76,Nosferatu (Nictuku),4th,Absimiliard,https://whitewolf.fandom.com/wiki/Absimiliard,Presumably numerous,Echidna (VTM),https://whitewolf.fandom.com/wiki/Echidna_(VTM)
77,Nosferatu antitribu,12th,Unknown,,,Elias the Whale,https://whitewolf.fandom.com/wiki/Elias_the_Whale
78,Nosferatu,6th,,,Belinde Buch (1530),Elline the Husk,https://whitewolf.fandom.com/wiki/Elline_the_Husk
79,Nosferatu,"8th (Currently, likely by diablerie)
9th (Originally)",Nathaniel Bordruff,https://whitewolf.fandom.com/wiki/Nathaniel_Bordruff,,Elucid,https://whitewolf.fandom.com/wiki/Elucid
80,Nosferatu,9th,Augustin,https://whitewolf.fandom.com/wiki/Augustin_(New_York),,Emmett,https://whitewolf.fandom.com/wiki/Emmett
81,Nosferatu,7th,Kothar,https://whitewolf.fandom.com/wiki/Kothar,Hannah,Ephraim,https://whitewolf.fandom.com/wiki/Ephraim
82,Nosferatu,,,,,Jan Evers,https://whitewolf.fandom.com/wiki/Jan_Evers
83,Nosferatu Ghoul,,,,,Villy Fabricius,https://whitewolf.fandom.com/wiki/Villy_Fabricius
84,Nosferatu antitribu,12th,,,,Fexia,https://whitewolf.fandom.com/wiki/Fexia
85,Nosferatu,8th,Stanford Warwick,https://whitewolf.fandom.com/wiki/Stanford_Warwick,,Maryann Fletcher,https://whitewolf.fandom.com/wiki/Maryann_Fletcher
86,Nosferatu,12th,Antonia Garcia-Franca,,,Gloria Flores,https://whitewolf.fandom.com/wiki/Gloria_Flores
87,Nosferatu,unknown,Fra' Raymond,https://whitewolf.fandom.com/wiki/Fra%27_Raymond,,Fra' Raymond's childe,https://whitewolf.fandom.com/wiki/Fra%27_Raymond%27s_childe
88,Nosferatu,,,,,David Frankel,https://whitewolf.fandom.com/wiki/David_Frankel
89,Nosferatu,11th,“Snakeman” Capo,https://whitewolf.fandom.com/wiki/Charles_Dawson,,Gabriella,https://whitewolf.fandom.com/wiki/Gabriella
90,Nosferatu,12th,,,Walker Grimes (1990s),Gary (Nosferatu),https://whitewolf.fandom.com/wiki/Gary_(Nosferatu)
91,Nosferatu,4th,Absimiliard,https://whitewolf.fandom.com/wiki/Absimiliard,Likely several,Gayomart,https://whitewolf.fandom.com/wiki/Gayomart
92,Nosferatu,10th,Radcliffe Without Teeth,https://whitewolf.fandom.com/wiki/Radcliffe_Without_Teeth,,Gemini (Nosferatu),https://whitewolf.fandom.com/wiki/Gemini_(Nosferatu)
93,Nosferatu,unknown,,,,Gemini (VTM),https://whitewolf.fandom.com/wiki/Gemini_(VTM)
94,Nosferatu,Unknown,,,,Jonathan Vries van de Gheeven,https://whitewolf.fandom.com/wiki/Jonathan_Vries_van_de_Gheeven
95,Nosferatu,,,,"['Imalia', 'Mitnick']",Gary Golden,https://whitewolf.fandom.com/wiki/Gary_Golden
96,Nosferatu (Nictuku),4th,Absimiliard,https://whitewolf.fandom.com/wiki/Absimiliard,Likely several,Gorgo,https://whitewolf.fandom.com/wiki/Gorgo
97,Nosferatu,,,,,Goth,https://whitewolf.fandom.com/wiki/Goth
98,Caitiff,13th,Gary,https://whitewolf.fandom.com/wiki/Gary_(Nosferatu),,Walker Grimes,https://whitewolf.fandom.com/wiki/Walker_Grimes
99,Nosferatu antitribu,6th,,,,Mateusz Grybowsky,https://whitewolf.fandom.com/wiki/Mateusz_Grybowsky
100,Nosferatu,9th,Don Armando de Madrid,https://whitewolf.fandom.com/wiki/Don_Armando_de_Madrid,,Alonzo Guillen,https://whitewolf.fandom.com/wiki/Alonzo_Guillen
101,Nosferatu antitribu,7th,Strohmann,https://whitewolf.fandom.com/wiki/Strohmann,,Gunther,https://whitewolf.fandom.com/wiki/Gunther
102,Nosferatu,5th,Baba Yaga,https://whitewolf.fandom.com/wiki/Baba_Yaga,numerous,Gutka,https://whitewolf.fandom.com/wiki/Gutka
103,Nosferatu,6th,,,Zelios (1020),Hannibal (Nosferatu),https://whitewolf.fandom.com/wiki/Hannibal_(Nosferatu)
104,Nosferatu,,,,,Harrod,https://whitewolf.fandom.com/wiki/Harrod
105,Nosferatu,9th,Blind Peter,https://whitewolf.fandom.com/wiki/Blind_Peter,,Rathe Haversham,https://whitewolf.fandom.com/wiki/Rathe_Haversham
106,Nosferatu (Red Nosferatu),,Unknown,,Several,Jasper Heartwood,https://whitewolf.fandom.com/wiki/Jasper_Heartwood
107,Nosferatu,10th,,,Herschel Salomon (1097),Antonius Heerenven,https://whitewolf.fandom.com/wiki/Antonius_Heerenven
108,Nosferatu Ghoul,,,,,Holger,https://whitewolf.fandom.com/wiki/Holger
109,Nosferatu,6th,Melitta Wallenberg,https://whitewolf.fandom.com/wiki/Melitta_Wallenberg,,Ellison Humboldt,https://whitewolf.fandom.com/wiki/Ellison_Humboldt
110,Nosferatu,,,,,Humphrey,https://whitewolf.fandom.com/wiki/Humphrey
111,Nosferatu antitribu,,,,,Huroff,https://whitewolf.fandom.com/wiki/Huroff
112,Nosferatu (Hajj),7th,Ja'far al-Medinat,https://whitewolf.fandom.com/wiki/Ja%27far_al-Medinat,Shahid,Ibn Ja'far,https://whitewolf.fandom.com/wiki/Ibn_Ja%27far
113,Nosferatu,10th,Raid,,,Nahd ibn Raid,https://whitewolf.fandom.com/wiki/Nahd_ibn_Raid
114,Nosferatu,6th,Tarique,https://whitewolf.fandom.com/wiki/Tarique,numerous,Mazen ibn Tarique,https://whitewolf.fandom.com/wiki/Mazen_ibn_Tarique
115,Nosferatu,,,,,Il Dottore,https://whitewolf.fandom.com/wiki/Il_Dottore
116,Nosferatu,8th,Vole,https://whitewolf.fandom.com/wiki/Vole,,Selene Iliades,https://whitewolf.fandom.com/wiki/Selene_Iliades
117,Nosferatu (Nictuku),4th,Absimiliard,https://whitewolf.fandom.com/wiki/Absimiliard,Possibly several,Illuyankas,https://whitewolf.fandom.com/wiki/Illuyankas
118,Nosferatu,,Gary Golden,https://whitewolf.fandom.com/wiki/Gary_Golden,,Imalia,https://whitewolf.fandom.com/wiki/Imalia
119,Nosferatu,8th,Belinde Buch,https://whitewolf.fandom.com/wiki/Belinde_Buch,"['Maja', 'Wellspring (ghouls)']",Jakob (Nosferatu),https://whitewolf.fandom.com/wiki/Jakob_(Nosferatu)
120,Nosferatu,,,,,Jeremiah (Nosferatu),https://whitewolf.fandom.com/wiki/Jeremiah_(Nosferatu)
121,Nosferatu,7th,Khalid al-Rashid,https://whitewolf.fandom.com/wiki/Khalid_al-Rashid,,Elzbieta Jurofsky,https://whitewolf.fandom.com/wiki/Elzbieta_Jurofsky
122,Nosferatu,,,,,Kaiser,https://whitewolf.fandom.com/wiki/Kaiser
123,Nosferatu,9th,,,Rowan (2010),Kamilah,https://whitewolf.fandom.com/wiki/Kamilah
124,Nosferatu,unknown,Unknown,,G. Pangbourne,Kanker,https://whitewolf.fandom.com/wiki/Kanker
125,Nosferatu (Red Nosferatu),Unknown,Unknown Nosferatu,,,King Rat,https://whitewolf.fandom.com/wiki/King_Rat
126,Nosferatu,unknown,Okulos,https://whitewolf.fandom.com/wiki/Okulos,,Korenna,https://whitewolf.fandom.com/wiki/Korenna
127,Nosferatu,6th,unknown,,"['Ephraim', 'Many unnamed']",Kothar,https://whitewolf.fandom.com/wiki/Kothar
128,Nosferatu,unknown,,,,Krid,https://whitewolf.fandom.com/wiki/Krid
129,Nosferatu antitribu,unknown,,,,Krieg,https://whitewolf.fandom.com/wiki/Krieg
130,Nosferatu,8th,Parovich,https://whitewolf.fandom.com/wiki/Parovich,"['Mort Sheaffer', 'Felicia Page']",Kristian,https://whitewolf.fandom.com/wiki/Kristian
131,Nosferatu (Red Nosferatu),?,,,,Doctor Lamas,https://whitewolf.fandom.com/wiki/Doctor_Lamas
132,Nosferatu,10th,Calebros,https://whitewolf.fandom.com/wiki/Calebros,,Kaius Leto,https://whitewolf.fandom.com/wiki/Kaius_Leto
133,Nosferatu antitribu,"['11th (originally)', '10th (first diablerie)', '9th (through diablerie)', '8th (through diablerie)', '7th (through diablerie)']",Unknown,,,Christanius Lionel,https://whitewolf.fandom.com/wiki/Christanius_Lionel
134,Nosferatu antitribu,9th,Joseph Cambridge,https://whitewolf.fandom.com/wiki/Joseph_Cambridge,,Juan Antonio Lopez de Aguirre,https://whitewolf.fandom.com/wiki/Juan_Antonio_Lopez_de_Aguirre
135,Nosferatu,9th,Sigmund the Leper,https://whitewolf.fandom.com/wiki/Sigmund_the_Leper,,Lukas,https://whitewolf.fandom.com/wiki/Lukas
136,Nosferatu,possibly 4th or 5th[1],,,,Molly MacDonald,https://whitewolf.fandom.com/wiki/Molly_MacDonald
137,Nosferatu,unknown,,,,Anna Magdelena,https://whitewolf.fandom.com/wiki/Anna_Magdelena
138,Nosferatu,10th,Marco,https://whitewolf.fandom.com/wiki/Marco_(Nosferatu),,Maginardo,https://whitewolf.fandom.com/wiki/Maginardo
139,Nosferatu,7th,Vasilli,https://whitewolf.fandom.com/wiki/Vasilli,The Three,Malachite,https://whitewolf.fandom.com/wiki/Malachite
140,Nosferatu antitribu,11th,Estaban Vasquez,https://whitewolf.fandom.com/wiki/Estaban_Vasquez,,Malloc,https://whitewolf.fandom.com/wiki/Malloc
141,Nosferatu,7th,unknown,,,Kokopell Mana,https://whitewolf.fandom.com/wiki/Kokopell_Mana
142,Nosferatu,9th,,,Maginardo (1032 CE),Marco (Nosferatu),https://whitewolf.fandom.com/wiki/Marco_(Nosferatu)
143,Nosferatu,unknown,,,,Ambrus Maropis,https://whitewolf.fandom.com/wiki/Ambrus_Maropis
144,Nosferatu,9th,Unknown,,,Martin,https://whitewolf.fandom.com/wiki/Martin
145,Nosferatu,9th,Lawrence Meeks,https://whitewolf.fandom.com/wiki/Lawrence_Meeks,,Martin (Nosferatu),https://whitewolf.fandom.com/wiki/Martin_(Nosferatu)
146,Nosferatu antitribu,"6th (Presumably through diablerie)
7th (Originally)",Petrodon,https://whitewolf.fandom.com/wiki/Petrodon,Few/Several,Julio Martinez,https://whitewolf.fandom.com/wiki/Julio_Martinez
147,Nosferatu,8th,Zelios,https://whitewolf.fandom.com/wiki/Zelios,Ruxandra,Marusca,https://whitewolf.fandom.com/wiki/Marusca
148,Nosferatu,9th,Alexander,https://whitewolf.fandom.com/wiki/Alexander,,Violet Mary,https://whitewolf.fandom.com/wiki/Violet_Mary
149,Nosferatu,unknown,Quentin de Senlis (adopted),https://whitewolf.fandom.com/wiki/Quentin_de_Senlis,,Maréchal,https://whitewolf.fandom.com/wiki/Mar%C3%A9chal
150,Thin-blooded,14th,,,,Nora McCreery,https://whitewolf.fandom.com/wiki/Nora_McCreery
151,Nosferatu,possibly 8th or 9th,,,,The Medic,https://whitewolf.fandom.com/wiki/The_Medic
152,Nosferatu,4th,Absimiliard,https://whitewolf.fandom.com/wiki/Absimiliard,"['Angiwar (6th millennium BCE)', 'Urgahalt', 'many others']",Medusa (VTM),https://whitewolf.fandom.com/wiki/Medusa_(VTM)
153,Nosferatu,8th,Warwick,https://whitewolf.fandom.com/wiki/Warwick,"['Avery (1851)', 'Roger (1865)', 'Martin (1871)']",Lawrence Meeks,https://whitewolf.fandom.com/wiki/Lawrence_Meeks
154,Nosferatu (Nictuku),4th,Absimiliard,https://whitewolf.fandom.com/wiki/Absimiliard,"Androvikus
Likely several",Melachoate,https://whitewolf.fandom.com/wiki/Melachoate
155,Nosferatu,5th,The Matriarch (Supposedly),https://whitewolf.fandom.com/wiki/Medusa_(VTM),,Memmon,https://whitewolf.fandom.com/wiki/Memmon
156,Nosferatu,7th,,,,Mihail,https://whitewolf.fandom.com/wiki/Mihail
157,Nosferatu,,Gary Golden,https://whitewolf.fandom.com/wiki/Gary_Golden,,Mitnick,https://whitewolf.fandom.com/wiki/Mitnick
158,Nosferatu (Mnemachian),6th,Drutalos,https://whitewolf.fandom.com/wiki/Drutalos,"Caecus
Many more",Mnemach,https://whitewolf.fandom.com/wiki/Mnemach
159,Nosferatu,8th,Reremouse,https://whitewolf.fandom.com/wiki/Reremouse,Dove,Modian,https://whitewolf.fandom.com/wiki/Modian
160,Nosferatu,9th,Oliver the Black,,,Montrose,https://whitewolf.fandom.com/wiki/Montrose
161,Nosferatu,possibly 8th or 9th,,,,Larissa Moreira,https://whitewolf.fandom.com/wiki/Larissa_Moreira
162,Nosferatu,,,,,Mouse,https://whitewolf.fandom.com/wiki/Mouse
163,Nosferatu,,,,,Nicholas (Nosferatu),https://whitewolf.fandom.com/wiki/Nicholas_(Nosferatu)
0,Nosferatu,6th,,,,Nostoket,https://whitewolf.fandom.com/wiki/Nostoket
1,Nosferatu (Nictuku),4th,Absimiliard,https://whitewolf.fandom.com/wiki/Absimiliard,,Nuckalavee,https://whitewolf.fandom.com/wiki/Nuckalavee
2,Nosferatu,possibly 13th,unknown,,"['Angus', 'Korenna']",Okulos,https://whitewolf.fandom.com/wiki/Okulos
3,Nosferatu,,,,,Omnis,https://whitewolf.fandom.com/wiki/Omnis
4,Nosferatu,8th,,,Prudence Stone (1700s),Osric,https://whitewolf.fandom.com/wiki/Osric
5,Nosferatu,9th,,,Toby (1988),Oswald,https://whitewolf.fandom.com/wiki/Oswald
6,Nosferatu,9th,Kristian,https://whitewolf.fandom.com/wiki/Kristian,,Felicia Page,https://whitewolf.fandom.com/wiki/Felicia_Page
7,Nosferatu antitribu,,Brother Kanker,https://whitewolf.fandom.com/wiki/Kanker,,G. Pangbourne,https://whitewolf.fandom.com/wiki/G._Pangbourne
8,Nosferatu antitribu,7th,Boronisk,https://whitewolf.fandom.com/wiki/Boronisk,"['Kristian (1985)', 'Anastasia (1989)', 'Raul (1990)', 'Numerous']",Parovich,https://whitewolf.fandom.com/wiki/Parovich
9,Nosferatu,6th,Angiwar,https://whitewolf.fandom.com/wiki/Angiwar,Likely a few,Pawnbroker,https://whitewolf.fandom.com/wiki/Pawnbroker
10,Nosferatu,8th,unknown; possibly Hilda Edelwood,https://whitewolf.fandom.com/wiki/Hilda_Edelwood,Rathe Haversham (1801),Blind Peter,https://whitewolf.fandom.com/wiki/Blind_Peter
11,Nosferatu,9th,Shagaret al-Durr,https://whitewolf.fandom.com/wiki/Shagaret_al-Durr,,Petra (Cairo),https://whitewolf.fandom.com/wiki/Petra_(Cairo)
12,Nosferatu,7th,,,Jara Drory,Petra (Yugoslavia),https://whitewolf.fandom.com/wiki/Petra_(Yugoslavia)
13,Nosferatu,5th/6th Speculation,Cristo,https://whitewolf.fandom.com/wiki/Cristo,"['Julio Martinez (1437)', 'Cock Robin (1757)']",Petrodon,https://whitewolf.fandom.com/wiki/Petrodon
14,Nosferatu,6th,Urgahalt,https://whitewolf.fandom.com/wiki/Urgahalt,,Phantomas,https://whitewolf.fandom.com/wiki/Phantomas
15,Nosferatu,,,,,Pietro (Nosferatu),https://whitewolf.fandom.com/wiki/Pietro_(Nosferatu)
16,Nosferatu,5th,Baba Yaga,https://whitewolf.fandom.com/wiki/Baba_Yaga,,Poison Tooth,https://whitewolf.fandom.com/wiki/Poison_Tooth
17,Nosferatu,7th,,,,Elmer Polanski,https://whitewolf.fandom.com/wiki/Elmer_Polanski
18,Nosferatu,6th,Trajan,https://whitewolf.fandom.com/wiki/Trajan,Warwick (1584 CE),Powell,https://whitewolf.fandom.com/wiki/Powell
19,Nosferatu,unknown,,,,Pug (Nosferatu),https://whitewolf.fandom.com/wiki/Pug_(Nosferatu)
20,Nosferatu,,,,Heather LaFlamme,Qui,https://whitewolf.fandom.com/wiki/Qui
21,Nosferatu,7th,Sabanu,https://whitewolf.fandom.com/wiki/Sabanu,"['Augustin (1449)', 'Several unnamed']",Rabbat,https://whitewolf.fandom.com/wiki/Rabbat
22,Nosferatu,12th,,,,Rachel (Nosferatu),https://whitewolf.fandom.com/wiki/Rachel_(Nosferatu)
23,Nosferatu antitribu,9th,possibly Radcliffe with Teeth,https://whitewolf.fandom.com/wiki/Radcliffe_with_Teeth,Gemini (1964),Radcliffe Without Teeth,https://whitewolf.fandom.com/wiki/Radcliffe_Without_Teeth
24,Nosferatu,8th,,,"Gerard Rafin (1905)
possibly Radcliffe Without Teeth",Horace Radcliffe,https://whitewolf.fandom.com/wiki/Horace_Radcliffe
25,Nosferatu,8th,,,,Ragged Jenny,https://whitewolf.fandom.com/wiki/Ragged_Jenny
