,Clan,Generation,Sire,Name,Link,Childer
61,Toreador,11th,,D'Espine,https://whitewolf.fandom.com/wiki/D%27Espine,The Courier (player dependent)
62,Toreador,7th,Count Dravik,Jean-Marc d'Harfleur,https://whitewolf.fandom.com/wiki/Jean-Marc_d%27Harfleur,
63,Toreador,6th,unknown,Michaelis d'Harmedon,https://whitewolf.fandom.com/wiki/Michaelis_d%27Harmedon,Esclarmonde la Noire
64,Toreador,"['7th (originally)', '6th (through diablerie)']",unknown,Margaret d'Hautmont,https://whitewolf.fandom.com/wiki/Margaret_d%27Hautmont,"['Anthony Sebastian Sands', 'Vidal Jarbeaux']"
65,Toreador,10th,,Bernardo da Silva,https://whitewolf.fandom.com/wiki/Bernardo_da_Silva,Florian Ribeiro (2021)
66,Toreador,,,Besse Dancort,https://whitewolf.fandom.com/wiki/Besse_Dancort,
67,Toreador,11th,Joseph Triebarch,Daphne,https://whitewolf.fandom.com/wiki/Daphne,Andrew
68,Toreador,6th,Enimachia,Darshuf,https://whitewolf.fandom.com/wiki/Darshuf,"['Mannal (878 CE)', 'Muhandis (1958 CE)']"
69,Toreador,11th,Erzulie,Marion Davies,https://whitewolf.fandom.com/wiki/Marion_Davies,
70,Toreador,,,Crepin de Beaumont,https://whitewolf.fandom.com/wiki/Crepin_de_Beaumont,Aimery le Chansonneur
71,Toreador Antitribu,7th,Charles de Poitiers,Isouda de Blaise,https://whitewolf.fandom.com/wiki/Isouda_de_Blaise,"['Rosamund of Islington', 'Fulco de Outremer']"
72,Toreador,9th,Aurore,Aimeric de Cabaret,https://whitewolf.fandom.com/wiki/Aimeric_de_Cabaret,
73,Toreador antitribu,unknown,Unknown,Gabriel de Cambrai,https://whitewolf.fandom.com/wiki/Gabriel_de_Cambrai,Presumably
74,Toreador,5th,Callisti y Castillo,Rafael de Corazon,https://whitewolf.fandom.com/wiki/Rafael_de_Corazon,[]
75,Toreador,unknown,,Eugênio Vicente de Olisipo,https://whitewolf.fandom.com/wiki/Eug%C3%AAnio_Vicente_de_Olisipo,
76,Toreador,5th,Nicholas the Younger,Etienne de Poitiers,https://whitewolf.fandom.com/wiki/Etienne_de_Poitiers,Likely a few
77,Toreador,10th,Adélaide Labille-Guiard,Marie-Marguerite Carreaux de Rosemont,https://whitewolf.fandom.com/wiki/Marie-Marguerite_Carreaux_de_Rosemont,Hilda MacAndrews (1788)
78,Toreador,,,Tabitha Delmare,https://whitewolf.fandom.com/wiki/Tabitha_Delmare,Huang Yue Lai Luna
79,Toreador,9th,Natasha,Louis Detonas,https://whitewolf.fandom.com/wiki/Louis_Detonas,Erzulie
80,Toreador,11th,Andrew Campbell,Lorna Dingwall,https://whitewolf.fandom.com/wiki/Lorna_Dingwall,
81,Toreador,,,Dio,https://whitewolf.fandom.com/wiki/Dio,Amphitryon
82,Toreador (Abstracts),11th,Sir Henry Johnson,Ferdinando Dixon,https://whitewolf.fandom.com/wiki/Ferdinando_Dixon,
83,Toreador,6th,Christopher Houghton,Sebastian Juan Dominguez,https://whitewolf.fandom.com/wiki/Sebastian_Juan_Dominguez,Victor Girard (1932)
84,Toreador antitribu,,,Donatien,https://whitewolf.fandom.com/wiki/Donatien,
85,Toreador,12th,Alice Pike,Marlene Drake,https://whitewolf.fandom.com/wiki/Marlene_Drake,
86,Toreador,6th,,Count Dravik,https://whitewolf.fandom.com/wiki/Count_Dravik,Jean-Marc d'Harfleur (1444 CE)
87,Toreador,,,Philippe Ducharme,https://whitewolf.fandom.com/wiki/Philippe_Ducharme,Nico Miller
88,Toreador antitribu,,,Alec Duchesne,https://whitewolf.fandom.com/wiki/Alec_Duchesne,
89,Toreador,,,Betty Duhamel,https://whitewolf.fandom.com/wiki/Betty_Duhamel,
90,Toreador,8th,Edward Williams,Duke (VTM),https://whitewolf.fandom.com/wiki/Duke_(VTM),George Price
91,Toreador,6th,François Villon,François Dumas,https://whitewolf.fandom.com/wiki/Fran%C3%A7ois_Dumas,
92,Toreador,12th,Ted Zyncan,Edge (Toreador),https://whitewolf.fandom.com/wiki/Edge_(Toreador),Stephanie Bayliss
93,Toreador,5th,Helena,Eletria,https://whitewolf.fandom.com/wiki/Eletria,
94,Toreador,6th,,Elonzo,https://whitewolf.fandom.com/wiki/Elonzo,Masdela (1543)
95,Toreador,6th,unknown,Elsh,https://whitewolf.fandom.com/wiki/Elsh,
96,Toreador,7th,,Enasius,https://whitewolf.fandom.com/wiki/Enasius,Gallasyn (324 CE)
97,Toreador,5th,Unknown,Endymion,https://whitewolf.fandom.com/wiki/Endymion,Sebastian Melmoth
98,Toreador (Ray'een al-Fen),5th,Michael,Enimachia,https://whitewolf.fandom.com/wiki/Enimachia,[]
99,Toreador,10th,Louis Detonas,Erzulie (VTM),https://whitewolf.fandom.com/wiki/Erzulie_(VTM),Marion Davies
100,Toreador,7th,Michaelis d'Harmedon,Esclarmonde the Black,https://whitewolf.fandom.com/wiki/Esclarmonde_the_Black,Aurore
101,Toreador,9th,Victoria Ash,Evan,https://whitewolf.fandom.com/wiki/Evan,
102,Toreador,11th,Chas Voyager,Rachel Evans,https://whitewolf.fandom.com/wiki/Rachel_Evans,
103,Toreador,9th,Malcolm McClure,Gwendolyn Fleming,https://whitewolf.fandom.com/wiki/Gwendolyn_Fleming,
104,Toreador,12th,,Mark Floros,https://whitewolf.fandom.com/wiki/Mark_Floros,
105,Toreador,10th,Owl,Enver Frasheri,https://whitewolf.fandom.com/wiki/Enver_Frasheri,
106,Toreador (Abstracts),,Chaz Price,Nelli G,https://whitewolf.fandom.com/wiki/Nelli_G,
107,Toreador,unknown,,Delphine Gaël,https://whitewolf.fandom.com/wiki/Delphine_Ga%C3%ABl,
108,[],5th,Helena,Melinda Galbraith,https://whitewolf.fandom.com/wiki/Melinda_Galbraith,Rosa Martinez
109,Toreador,8th,Enasius,Gallasyn,https://whitewolf.fandom.com/wiki/Gallasyn,
110,Toreador (Abstracts),12th,Kyra Ripa,Mateo García,https://whitewolf.fandom.com/wiki/Mateo_Garc%C3%ADa,
111,Toreador,,Vasily,Gaspard,https://whitewolf.fandom.com/wiki/Gaspard,
112,Toreador,8th,,Gerard le Vieux,https://whitewolf.fandom.com/wiki/Gerard_le_Vieux,
113,Toreador,10th,Henrietta L'Abadie,Jim Gershwin,https://whitewolf.fandom.com/wiki/Jim_Gershwin,
114,Toreador (Abstracts),7th[1],Don Sebastian Juan Dominguez,Victor Girard,https://whitewolf.fandom.com/wiki/Victor_Girard,
115,Toreador,10th,Tamoszius,Kathy Glens,https://whitewolf.fandom.com/wiki/Kathy_Glens,
116,Toreador,possibly 8th or 9th,,Flavio Gonçalves,https://whitewolf.fandom.com/wiki/Flavio_Gon%C3%A7alves,
117,Toreador,9th,,Solomon Greene,https://whitewolf.fandom.com/wiki/Solomon_Greene,Miriam Caravaggio (1890)
118,Toreador,?,Unknown,Alisha Grey,https://whitewolf.fandom.com/wiki/Alisha_Grey,
119,Toreador,unknown,,Smilla Grimsson,https://whitewolf.fandom.com/wiki/Smilla_Grimsson,Ragnar Asgrimsson
120,Toreador,6th,Philippe Vollgirre,Madame Guil,https://whitewolf.fandom.com/wiki/Madame_Guil,"[""Countess d'Adhemar (1789)"", 'Michael Unther (1802)']"
121,Toreador,possibly high,,Kazuki Hanabira,https://whitewolf.fandom.com/wiki/Kazuki_Hanabira,
122,Toreador,9th,,Charlotte Hansard,https://whitewolf.fandom.com/wiki/Charlotte_Hansard,Thomas Arturo (1978)
123,Toreador,7th,,Hansen (seventh generation),https://whitewolf.fandom.com/wiki/Hansen_(seventh_generation),Lucina (1879)
124,Toreador,"['5th (originally)', '4th (through diablerie)']",Minos,Helena (VTM),https://whitewolf.fandom.com/wiki/Helena_(VTM),"['Eletria (86 BCE)', 'Melinda Galbraith (1143 CE)', 'François Villon (1230 CE)', 'Philippe Vollgirre', 'María', 'Consuela', 'Possibly more']"
125,Toreador,10th,,Henrietta L'Abadie,https://whitewolf.fandom.com/wiki/Henrietta_L%27Abadie,Jim Gershwin (1923)
126,Toreador,11th,Rudolph Paulsen,Horace Holden,https://whitewolf.fandom.com/wiki/Horace_Holden,
127,Toreador (Abstracts),5th,Sir Matthew Lubbock,Christopher Houghton,https://whitewolf.fandom.com/wiki/Christopher_Houghton,"['Joaquin Murietta (1853)', 'Don Sebastian Juan Dominguez (1870)']"
128,Toreador,,Tabitha Delmare,Huang Yue Lai Luna,https://whitewolf.fandom.com/wiki/Huang_Yue_Lai_Luna,
129,Toreador,9th,,Anne Hyatt,https://whitewolf.fandom.com/wiki/Anne_Hyatt,Chas Voyager (1952)
130,Toreador,possibly 6th to 8th[1],,Diana Iadanza,https://whitewolf.fandom.com/wiki/Diana_Iadanza,
131,Toreador,8th,,Shamit ibn Yasir,https://whitewolf.fandom.com/wiki/Shamit_ibn_Yasir,
132,Toreador,9th,,Ignace,https://whitewolf.fandom.com/wiki/Ignace,Yitzhak (1774)
133,Toreador,,,Ionna,https://whitewolf.fandom.com/wiki/Ionna,
134,Toreador,4th,Arikel,Iontius,https://whitewolf.fandom.com/wiki/Iontius,"['Ishaq ibn Ibrahim', 'Etienne de Poitiers']"
135,Toreador,7th,,Jacques the Fair,https://whitewolf.fandom.com/wiki/Jacques_the_Fair,Maiselle (1107)
136,Toreador,7th,Margaret d'Hautmont,Vidal Jarbeaux,https://whitewolf.fandom.com/wiki/Vidal_Jarbeaux,Christianne Foy
137,Toreador,6th,Salianna,Jeanne of Flanders,https://whitewolf.fandom.com/wiki/Jeanne_of_Flanders,
138,Toreador,8th,Unknown,Mr. Johnson,https://whitewolf.fandom.com/wiki/Mr._Johnson,
139,Toreador,10th,Sondra,Sir Henry Johnson,https://whitewolf.fandom.com/wiki/Sir_Henry_Johnson,[]
140,Toreador Ghoul,,Blanca,Joseph (ghoul),https://whitewolf.fandom.com/wiki/Joseph_(ghoul),
141,Toreador,10th,,Dmitri Karolev,https://whitewolf.fandom.com/wiki/Dmitri_Karolev,Angelique Stravinsky (1919)
142,Toreador,7th,Theophano,Katherine of Montpellier,https://whitewolf.fandom.com/wiki/Katherine_of_Montpellier,Phillipe L'Huiller
143,Toreador,Likely 12th or 13th,Amadeus,Kiếm,https://whitewolf.fandom.com/wiki/Ki%E1%BA%BFm,
144,Toreador,7th,Maria y Aragon,Dieter Kleist,https://whitewolf.fandom.com/wiki/Dieter_Kleist,
145,Toreador,10th,Tamoszius Kuszleika,Yvette Krupinski,https://whitewolf.fandom.com/wiki/Yvette_Krupinski,
146,Toreador,7th,,Erik Kuster,https://whitewolf.fandom.com/wiki/Erik_Kuster,Raymond Narcisse (1731)
147,Toreador,8th,Katherine of Montpellier,Phillipe L'Huiller,https://whitewolf.fandom.com/wiki/Phillipe_L%27Huiller,Keneth Chriswell
148,Toreador,6th,Salianna,Hélène la Juste,https://whitewolf.fandom.com/wiki/H%C3%A9l%C3%A8ne_la_Juste,
149,Toreador,6th,,Adreu La Torre,https://whitewolf.fandom.com/wiki/Adreu_La_Torre,Anna Yusupova (1881)
150,Toreador,9th,,Adélaide Labille-Guiard,https://whitewolf.fandom.com/wiki/Ad%C3%A9laide_Labille-Guiard,"['Marie-Marguerite Carreaux de Rosemont', 'Hilda MacAndrews (adopted)']"
151,Toreador,,,Lady Cristina,https://whitewolf.fandom.com/wiki/Lady_Cristina,
152,Toreador,Unknown,,Jean-Paul Pierre LaMont,https://whitewolf.fandom.com/wiki/Jean-Paul_Pierre_LaMont,
153,Toreador,,,Lillie Langtry,https://whitewolf.fandom.com/wiki/Lillie_Langtry,"['Zane', 'Other childer']"
154,Toreador,8th,Jacques,Anntoinette,https://whitewolf.fandom.com/wiki/Anntoinette,Hans Vroenik
155,Toreador,,,Talia Lehrer,https://whitewolf.fandom.com/wiki/Talia_Lehrer,
156,Toreador,8th,,Leopold (Toreador),https://whitewolf.fandom.com/wiki/Leopold_(Toreador),
157,Toreador,,,Andre LeRoux,https://whitewolf.fandom.com/wiki/Andre_LeRoux,
158,Toreador,7th,Pascoe,Lianna (Leanan),https://whitewolf.fandom.com/wiki/Lianna_(Leanan),
159,Toreador,9th,Alexandra Ruthven,Lily (Toreador),https://whitewolf.fandom.com/wiki/Lily_(Toreador),
160,Toreador (Abstracts),unknown,,Lin Jun,https://whitewolf.fandom.com/wiki/Lin_Jun,
161,Toreador,7th,Annabelle Triabell,Elsa Linden,https://whitewolf.fandom.com/wiki/Elsa_Linden,Some childers
162,Toreador,10th (Presumably by diablerie),Unknown,Jezebel Locke,https://whitewolf.fandom.com/wiki/Jezebel_Locke,Prince Bruno
163,Toreador,6th,Salianna,Lorraine,https://whitewolf.fandom.com/wiki/Lorraine,
164,Toreador,12th,Hilda McAndrews,Emem Louis,https://whitewolf.fandom.com/wiki/Emem_Louis,
165,Toreador,4th,Possibly Arikel,Matthew Lubbock,https://whitewolf.fandom.com/wiki/Matthew_Lubbock,[]
166,Toreador,,,Lucille (Toreador),https://whitewolf.fandom.com/wiki/Lucille_(Toreador),Kirsten Bellamy (1789)
167,Toreador,8th,Hansen,Lucina,https://whitewolf.fandom.com/wiki/Lucina,
168,Toreador,7th,,Montague Lytton,https://whitewolf.fandom.com/wiki/Montague_Lytton,Miranda
169,Toreador,unknown,,Brody MacKenzie,https://whitewolf.fandom.com/wiki/Brody_MacKenzie,
170,Toreador,,Mikala,Maia (Toreador),https://whitewolf.fandom.com/wiki/Maia_(Toreador),
171,Toreador,9th,Maiselle,Catherine Maidstone,https://whitewolf.fandom.com/wiki/Catherine_Maidstone,
172,Toreador,8th,Jacques the Fair,Maiselle,https://whitewolf.fandom.com/wiki/Maiselle,Catherine Maidstone
173,Toreador,,,Makarios,https://whitewolf.fandom.com/wiki/Makarios,
174,Toreador antitribu,6th,,Malabranca,https://whitewolf.fandom.com/wiki/Malabranca,Venere Carboni (1530)
0,Toreador,7th,Darshuf,Mannal,https://whitewolf.fandom.com/wiki/Mannal,
1,Toreador antitribu,10th,Unknown,Cristos Mantigo,https://whitewolf.fandom.com/wiki/Cristos_Mantigo,
2,Toreador,,,Marcellus,https://whitewolf.fandom.com/wiki/Marcellus,
3,Toreador,possibly 7th or 8th,,Marcos Belegrad,https://whitewolf.fandom.com/wiki/Marcos_Belegrad,
4,Toreador,9th,Irving,Marlene,https://whitewolf.fandom.com/wiki/Marlene,
5,Toreador antitribu,6th,Melinda Galbraith,Rosa Martinez,https://whitewolf.fandom.com/wiki/Rosa_Martinez,
6,Toreador,5th,Helena,María (VTM),https://whitewolf.fandom.com/wiki/Mar%C3%ADa_(VTM),Annabelle Triabell (1722)
7,Toreador,7th,Elonzo,Masdela,https://whitewolf.fandom.com/wiki/Masdela,
8,Toreador,possibly 4th to 6th,,Masika,https://whitewolf.fandom.com/wiki/Masika,
9,Toreador,6th,,Maxime,https://whitewolf.fandom.com/wiki/Maxime,
10,Toreador,7th,,Maximillian,https://whitewolf.fandom.com/wiki/Maximillian,Victoria Ash
11,Toreador,11th,Marie-Marguerite Carreaux de Rosemont,Hilda MacAndrews,https://whitewolf.fandom.com/wiki/Hilda_MacAndrews,Emem (1929)
12,Toreador,8th,,Malcolm McClure,https://whitewolf.fandom.com/wiki/Malcolm_McClure,Gwendolyn Fleming (1758)
13,Toreador,6th,Endymion,Sebastian Melmoth,https://whitewolf.fandom.com/wiki/Sebastian_Melmoth,Eddie Conlan
14,Toreador,5th,Amphion,Menippus,https://whitewolf.fandom.com/wiki/Menippus,Theophano
15,Toreador antitribu,10th,Dominique Santo Paulo,Mercy (VTM),https://whitewolf.fandom.com/wiki/Mercy_(VTM),
16,Toreador,7th,Unknown Toreador,Samantha Merrain,https://whitewolf.fandom.com/wiki/Samantha_Merrain,Erin Runningbear
17,Toreador,,,Lady Merritt,https://whitewolf.fandom.com/wiki/Lady_Merritt,
18,Toreador,4th,Arikel,Michael (Toreador),https://whitewolf.fandom.com/wiki/Michael_(Toreador),"['Salianna (150 BCE)', 'Enimachia', 'Petronius (65 CE)', 'Vashtai (526 CE)', 'Anthemios of Thralles (537 CE)', 'Pakourianis (567 CE)', 'Paul Bathalos (750 CE)']"
19,Toreador,,,Millie Milford,https://whitewolf.fandom.com/wiki/Millie_Milford,
20,Toreador,,Philippe Ducharme,Nico Miller,https://whitewolf.fandom.com/wiki/Nico_Miller,
21,Toreador,4th,Toreador Antediluvian,Minos (Toreador),https://whitewolf.fandom.com/wiki/Minos_(Toreador),Helena
22,Toreador,4th,Toreador Antediluvian,Minotaur (VTM),https://whitewolf.fandom.com/wiki/Minotaur_(VTM),
23,Toreador,8th,Montague Lytton,Miranda,https://whitewolf.fandom.com/wiki/Miranda,
24,Toreador,possibly 8th or 9th,,Mkhokheli,https://whitewolf.fandom.com/wiki/Mkhokheli,
25,Toreador,7th,Annabelle Triabell,Modius,https://whitewolf.fandom.com/wiki/Modius,Allicia (1938 CE)
26,Toreador,,,Montecalme,https://whitewolf.fandom.com/wiki/Montecalme,
27,Toreador,unknown,,Ysabella Moore,https://whitewolf.fandom.com/wiki/Ysabella_Moore,
28,Toreador,8th,Émeric de Sauveterre,Laurette Morel,https://whitewolf.fandom.com/wiki/Laurette_Morel,
29,Toreador,6th,Christopher Houghton,Joaquín Murietta,https://whitewolf.fandom.com/wiki/Joaqu%C3%ADn_Murietta,
30,Toreador,6th,Vashtai,Nakshidil,https://whitewolf.fandom.com/wiki/Nakshidil,
31,Toreador,8th,Erik Kuster,Raymond Narcisse,https://whitewolf.fandom.com/wiki/Raymond_Narcisse,
32,Toreador,8th,,Natasha (Toreador),https://whitewolf.fandom.com/wiki/Natasha_(Toreador),"['Louis Detonas (1793)', 'Tamoszius (1885)']"
33,Toreador,10th,Keneth Chriswell,Carmelita Neillson,https://whitewolf.fandom.com/wiki/Carmelita_Neillson,
34,Toreador,possibly low generation,,Nizchetus,https://whitewolf.fandom.com/wiki/Nizchetus,
35,Toreador,9th,Victoria Ash,Noel,https://whitewolf.fandom.com/wiki/Noel,
36,Toreador antitribu,11th,Conchita Morales,Miguel Orozco,https://whitewolf.fandom.com/wiki/Miguel_Orozco,
37,Toreador,8th,Unknown,Geneviève Orseau,https://whitewolf.fandom.com/wiki/Genevi%C3%A8ve_Orseau,"['Trevor', 'Maxime']"
38,Toreador,possibly 11th to 13th,,Valentina Osako,https://whitewolf.fandom.com/wiki/Valentina_Osako,
39,Toreador,9th,,Owl (Toreador),https://whitewolf.fandom.com/wiki/Owl_(Toreador),Enver Frasheri (1789)
40,Toreador,5th,Michael,Pakourianis,https://whitewolf.fandom.com/wiki/Pakourianis,Likely numerous
41,Toreador,8th,Sharon Payne,Michael Payne,https://whitewolf.fandom.com/wiki/Michael_Payne,DeForest
42,Toreador,7th,Annabelle Triabell,Sharon Payne,https://whitewolf.fandom.com/wiki/Sharon_Payne,Michael Payne (1929)
43,Toreador (Abstracts),,,Thomasina Payne,https://whitewolf.fandom.com/wiki/Thomasina_Payne,Tru (1951)
44,Toreador,5th,Michael the Patriarch,Petronius,https://whitewolf.fandom.com/wiki/Petronius,Presumably several
45,Toreador,possibly 9th or 10th,,Silvian Popescu,https://whitewolf.fandom.com/wiki/Silvian_Popescu,
46,Toreador,,,Chaz Price,https://whitewolf.fandom.com/wiki/Chaz_Price,"['Nelli G', 'Donna Cambridge', 'Several others']"
47,Toreador,,,Davis Purrel,https://whitewolf.fandom.com/wiki/Davis_Purrel,
48,Toreador,13th,,Rain,https://whitewolf.fandom.com/wiki/Rain,
49,Toreador,8th,Juliette Dulai,Ransam,https://whitewolf.fandom.com/wiki/Ransam,
50,Toreador,7th,Unknown,Ranulph,https://whitewolf.fandom.com/wiki/Ranulph,
51,Toreador,7th,,Ranulph Longsword,https://whitewolf.fandom.com/wiki/Ranulph_Longsword,
52,Toreador,7th,Calabris,Rati,https://whitewolf.fandom.com/wiki/Rati,
53,Toreador,,,Bethany Ray,https://whitewolf.fandom.com/wiki/Bethany_Ray,
54,Toreador,9th,David Taliaferro,Cynthia Razor,https://whitewolf.fandom.com/wiki/Cynthia_Razor,
55,Toreador,8th,Nathaniel,Saint Regis,https://whitewolf.fandom.com/wiki/Saint_Regis,
56,Toreador,11th,Bernardo da Silva,Florian Ribeiro,https://whitewolf.fandom.com/wiki/Florian_Ribeiro,
57,Toreador,possibly 7th or 8th[1],,Epikasta Rigatos,https://whitewolf.fandom.com/wiki/Epikasta_Rigatos,
58,Toreador,Unknown (at least 10th in V5 Timeline),Isaac Abrams,Ash Rivers,https://whitewolf.fandom.com/wiki/Ash_Rivers,
59,Toreador,,,Suzanne Rochelle,https://whitewolf.fandom.com/wiki/Suzanne_Rochelle,
60,Toreador,8th,Isouda de Blaise,Rosamund of Islington,https://whitewolf.fandom.com/wiki/Rosamund_of_Islington,
61,Toreador,,,Daryl Roy,https://whitewolf.fandom.com/wiki/Daryl_Roy,
