,Clan,Generation,Sire,Name,Link,Childer
31,Brujah (nominally Caitiff),[],Breton,Claudette Malfet,https://whitewolf.fandom.com/wiki/Claudette_Malfet,
32,Caitiff,11th,Gordon Keaton,Francois Mamuwalde,https://whitewolf.fandom.com/wiki/Francois_Mamuwalde,
33,Caitiff,13th,Smith,Margarite (Pander),https://whitewolf.fandom.com/wiki/Margarite_(Pander),Elena Mathers
34,Caitiff,14th,Margarite,Elena Mathers,https://whitewolf.fandom.com/wiki/Elena_Mathers,
35,Caitiff (Pander),Unknown,Unknown,Joseph Pander,https://whitewolf.fandom.com/wiki/Joseph_Pander,
36,Caitiff,12th,Georges,Louis Pasteur,https://whitewolf.fandom.com/wiki/Louis_Pasteur,
37,Caitiff,10th,unknown,Paulov,https://whitewolf.fandom.com/wiki/Paulov,Rolf
38,Caitiff,13th,Unknown,Tim Roche,https://whitewolf.fandom.com/wiki/Tim_Roche,
39,Caitiff,11th,Paulov,Rolf,https://whitewolf.fandom.com/wiki/Rolf,Darva Felispa
40,Caitiff (Ravnos)[note 1],9th,Vladislav Krivokapic,Shejana,https://whitewolf.fandom.com/wiki/Shejana,
41,Caitiff,9th,Maldavis,Derrick Stack,https://whitewolf.fandom.com/wiki/Derrick_Stack,
42,Caitiff (possibly Malkavian),11th,unknown,Stanislav,https://whitewolf.fandom.com/wiki/Stanislav,
43,Caitiff (Tremere origin),13th,Sun Che,Bennett Steadman,https://whitewolf.fandom.com/wiki/Bennett_Steadman,
44,Caitiff,unknown,Unknown,Andy Sullivan,https://whitewolf.fandom.com/wiki/Andy_Sullivan,
45,,,Markos (adopted),The Caitiff,https://whitewolf.fandom.com/wiki/The_Caitiff,
46,Caitiff (if turned),,,Gabe Tremblay,https://whitewolf.fandom.com/wiki/Gabe_Tremblay,
47,Caitiff,"['13th (Originally)', '12th (through Diablerie)']",Gengis,Turk,https://whitewolf.fandom.com/wiki/Turk,
48,Caitiff (Brujah origin),13th,Sketch,Mercy Valdez,https://whitewolf.fandom.com/wiki/Mercy_Valdez,
49,Caitiff,11th,Susan,Raymond Wallace,https://whitewolf.fandom.com/wiki/Raymond_Wallace,
50,Caitiff (Ventrue origin),9th,Al Capone,Nickolas White,https://whitewolf.fandom.com/wiki/Nickolas_White,
51,Caitiff,,,Alex Wilkins,https://whitewolf.fandom.com/wiki/Alex_Wilkins,
52,Caitiff,9th,Unknown Giovanni,Zal,https://whitewolf.fandom.com/wiki/Zal,
53,Caitiff,10th (through Diablerie),Arebehaluah,Count Zaroff,https://whitewolf.fandom.com/wiki/Count_Zaroff,
