,Clan,Generation,Sire,Childer,Name,Link
48,Nosferatu,8th,,Juan Antonio (1964),Joseph Cambridge,https://whitewolf.fandom.com/wiki/Joseph_Cambridge
49,Nosferatu,unknown,,,Bartolomeu Casson,https://whitewolf.fandom.com/wiki/Bartolomeu_Casson
50,Nosferatu,unknown,,,Castillo,https://whitewolf.fandom.com/wiki/Castillo
51,Nosferatu antitribu,10th,Unknown,,Raphael Catarari,https://whitewolf.fandom.com/wiki/Raphael_Catarari
52,Nosferatu antitribu,9th (possibly by diablerie),Humo,possibly Estaban Vasquez,Cicatriz,https://whitewolf.fandom.com/wiki/Cicatriz
53,Nosferatu,7th,,,Madame Cloaca,https://whitewolf.fandom.com/wiki/Madame_Cloaca
54,Nosferatu,7th,Petrodon,,Cock Robin,https://whitewolf.fandom.com/wiki/Cock_Robin
55,Nosferatu,8th,John Bullock,,Clive Cooper,https://whitewolf.fandom.com/wiki/Clive_Cooper
56,Nosferatu,12th,,,Kieran Cotterill,https://whitewolf.fandom.com/wiki/Kieran_Cotterill
57,Nosferatu,,,,Cranston,https://whitewolf.fandom.com/wiki/Cranston
58,Nosferatu,,,,Gianni D'Angelo,https://whitewolf.fandom.com/wiki/Gianni_D%27Angelo
59,Nosferatu,,,,Daedalus,https://whitewolf.fandom.com/wiki/Daedalus
60,Nosferatu,7th,,,Alexander Danov,https://whitewolf.fandom.com/wiki/Alexander_Danov
61,Nosferatu,possibly 9th or 10th,,,Daria,https://whitewolf.fandom.com/wiki/Daria
62,Nosferatu,10th,Poe,Gabriella,Charles Dawson,https://whitewolf.fandom.com/wiki/Charles_Dawson
63,Nosferatu,9th,,Charles Dawson (1958),Poe (Nosferatu),https://whitewolf.fandom.com/wiki/Poe_(Nosferatu)
64,Nosferatu,"['7th[2]', '8th[3][4]']",Hilda Edelwood,"['Thomas the Rat', 'Harold Tanner', 'Rea']",Richard de Worde,https://whitewolf.fandom.com/wiki/Richard_de_Worde
65,Nosferatu,,,At least one,Demon Lover,https://whitewolf.fandom.com/wiki/Demon_Lover
66,Nosferatu,"['8th (originally)', '7th (through diablerie)']",Stanford Warwick,The Ghost in the Machine,Kurt Densch,https://whitewolf.fandom.com/wiki/Kurt_Densch
67,Nosferatu,13th,El Tiburón,,El Diablo Verde,https://whitewolf.fandom.com/wiki/El_Diablo_Verde
68,Nosferatu,,,,Baron Dieudonne,https://whitewolf.fandom.com/wiki/Baron_Dieudonne
69,Nosferatu,7th,"['Mariennia', 'Josef von Bauren (adoptive)']",Several/few,Federico DiPadua,https://whitewolf.fandom.com/wiki/Federico_DiPadua
70,Nosferatu,6th,Hauzal,,Dondinni,https://whitewolf.fandom.com/wiki/Dondinni
71,Nosferatu (Nictuku),9th,Modian,The Courier (player dependent),Dove,https://whitewolf.fandom.com/wiki/Dove
72,Nosferatu,8th,Petra,,Jara Drory,https://whitewolf.fandom.com/wiki/Jara_Drory
73,Nosferatu,5th,unknown,Mnemach (47 BCE),Drutalos,https://whitewolf.fandom.com/wiki/Drutalos
74,Nosferatu,7th,Unknown,Alberich,Jacob Durgal,https://whitewolf.fandom.com/wiki/Jacob_Durgal
75,Nosferatu,,,,Caleb Duval,https://whitewolf.fandom.com/wiki/Caleb_Duval
76,Nosferatu (Nictuku),4th,Absimiliard,Presumably numerous,Echidna (VTM),https://whitewolf.fandom.com/wiki/Echidna_(VTM)
77,Nosferatu antitribu,12th,Unknown,,Elias the Whale,https://whitewolf.fandom.com/wiki/Elias_the_Whale
78,Nosferatu,6th,,Belinde Buch (1530),Elline the Husk,https://whitewolf.fandom.com/wiki/Elline_the_Husk
79,Nosferatu,[],Nathaniel Bordruff,,Elucid,https://whitewolf.fandom.com/wiki/Elucid
80,Nosferatu,9th,Augustin,,Emmett,https://whitewolf.fandom.com/wiki/Emmett
81,Nosferatu,7th,Kothar,Hannah,Ephraim,https://whitewolf.fandom.com/wiki/Ephraim
82,Nosferatu,,,,Jan Evers,https://whitewolf.fandom.com/wiki/Jan_Evers
83,Nosferatu Ghoul,,,,Villy Fabricius,https://whitewolf.fandom.com/wiki/Villy_Fabricius
84,Nosferatu antitribu,12th,,,Fexia,https://whitewolf.fandom.com/wiki/Fexia
85,Nosferatu,8th,Stanford Warwick,,Maryann Fletcher,https://whitewolf.fandom.com/wiki/Maryann_Fletcher
86,Nosferatu,12th,Antonia Garcia-Franca,,Gloria Flores,https://whitewolf.fandom.com/wiki/Gloria_Flores
87,Nosferatu,unknown,Fra' Raymond,,Fra' Raymond's childe,https://whitewolf.fandom.com/wiki/Fra%27_Raymond%27s_childe
88,Nosferatu,,,,David Frankel,https://whitewolf.fandom.com/wiki/David_Frankel
89,Nosferatu,11th,“Snakeman” Capo,,Gabriella,https://whitewolf.fandom.com/wiki/Gabriella
90,Nosferatu,12th,,Walker Grimes (1990s),Gary (Nosferatu),https://whitewolf.fandom.com/wiki/Gary_(Nosferatu)
91,Nosferatu,4th,Absimiliard,Likely several,Gayomart,https://whitewolf.fandom.com/wiki/Gayomart
92,Nosferatu,10th,Radcliffe Without Teeth,,Gemini (Nosferatu),https://whitewolf.fandom.com/wiki/Gemini_(Nosferatu)
93,Nosferatu,unknown,,,Gemini (VTM),https://whitewolf.fandom.com/wiki/Gemini_(VTM)
94,Nosferatu,Unknown,,,Jonathan Vries van de Gheeven,https://whitewolf.fandom.com/wiki/Jonathan_Vries_van_de_Gheeven
95,Nosferatu,,,"['Imalia', 'Mitnick']",Gary Golden,https://whitewolf.fandom.com/wiki/Gary_Golden
96,Nosferatu (Nictuku),4th,Absimiliard,Likely several,Gorgo,https://whitewolf.fandom.com/wiki/Gorgo
97,Nosferatu,,,,Goth,https://whitewolf.fandom.com/wiki/Goth
98,Caitiff,13th,Gary,,Walker Grimes,https://whitewolf.fandom.com/wiki/Walker_Grimes
99,Nosferatu antitribu,6th,,,Mateusz Grybowsky,https://whitewolf.fandom.com/wiki/Mateusz_Grybowsky
100,Nosferatu,9th,Don Armando de Madrid,,Alonzo Guillen,https://whitewolf.fandom.com/wiki/Alonzo_Guillen
101,Nosferatu antitribu,7th,Strohmann,,Gunther,https://whitewolf.fandom.com/wiki/Gunther
102,Nosferatu,5th,Baba Yaga,numerous,Gutka,https://whitewolf.fandom.com/wiki/Gutka
103,Nosferatu,6th,,Zelios (1020),Hannibal (Nosferatu),https://whitewolf.fandom.com/wiki/Hannibal_(Nosferatu)
104,Nosferatu,,,,Harrod,https://whitewolf.fandom.com/wiki/Harrod
105,Nosferatu,9th,Blind Peter,,Rathe Haversham,https://whitewolf.fandom.com/wiki/Rathe_Haversham
106,Nosferatu (Red Nosferatu),,Unknown,Several,Jasper Heartwood,https://whitewolf.fandom.com/wiki/Jasper_Heartwood
107,Nosferatu,10th,,Herschel Salomon (1097),Antonius Heerenven,https://whitewolf.fandom.com/wiki/Antonius_Heerenven
108,Nosferatu Ghoul,,,,Holger,https://whitewolf.fandom.com/wiki/Holger
109,Nosferatu,6th,Melitta Wallenberg,,Ellison Humboldt,https://whitewolf.fandom.com/wiki/Ellison_Humboldt
110,Nosferatu,,,,Humphrey,https://whitewolf.fandom.com/wiki/Humphrey
111,Nosferatu antitribu,,,,Huroff,https://whitewolf.fandom.com/wiki/Huroff
112,Nosferatu (Hajj),7th,Ja'far al-Medinat,Shahid,Ibn Ja'far,https://whitewolf.fandom.com/wiki/Ibn_Ja%27far
113,Nosferatu,10th,Raid,,Nahd ibn Raid,https://whitewolf.fandom.com/wiki/Nahd_ibn_Raid
114,Nosferatu,6th,Tarique,numerous,Mazen ibn Tarique,https://whitewolf.fandom.com/wiki/Mazen_ibn_Tarique
115,Nosferatu,,,,Il Dottore,https://whitewolf.fandom.com/wiki/Il_Dottore
116,Nosferatu,8th,Vole,,Selene Iliades,https://whitewolf.fandom.com/wiki/Selene_Iliades
117,Nosferatu (Nictuku),4th,Absimiliard,Possibly several,Illuyankas,https://whitewolf.fandom.com/wiki/Illuyankas
118,Nosferatu,,Gary Golden,,Imalia,https://whitewolf.fandom.com/wiki/Imalia
119,Nosferatu,8th,Belinde Buch,"['Maja', 'Wellspring (ghouls)']",Jakob (Nosferatu),https://whitewolf.fandom.com/wiki/Jakob_(Nosferatu)
120,Nosferatu,,,,Jeremiah (Nosferatu),https://whitewolf.fandom.com/wiki/Jeremiah_(Nosferatu)
121,Nosferatu,7th,Khalid al-Rashid,,Elzbieta Jurofsky,https://whitewolf.fandom.com/wiki/Elzbieta_Jurofsky
122,Nosferatu,,,,Kaiser,https://whitewolf.fandom.com/wiki/Kaiser
123,Nosferatu,9th,,Rowan (2010),Kamilah,https://whitewolf.fandom.com/wiki/Kamilah
124,Nosferatu,unknown,Unknown,G. Pangbourne,Kanker,https://whitewolf.fandom.com/wiki/Kanker
125,Nosferatu (Red Nosferatu),Unknown,Unknown Nosferatu,,King Rat,https://whitewolf.fandom.com/wiki/King_Rat
126,Nosferatu,unknown,Okulos,,Korenna,https://whitewolf.fandom.com/wiki/Korenna
127,Nosferatu,6th,unknown,"['Ephraim', 'Many unnamed']",Kothar,https://whitewolf.fandom.com/wiki/Kothar
128,Nosferatu,unknown,,,Krid,https://whitewolf.fandom.com/wiki/Krid
129,Nosferatu antitribu,unknown,,,Krieg,https://whitewolf.fandom.com/wiki/Krieg
130,Nosferatu,8th,Parovich,"['Mort Sheaffer', 'Felicia Page']",Kristian,https://whitewolf.fandom.com/wiki/Kristian
131,Nosferatu (Red Nosferatu),?,,,Doctor Lamas,https://whitewolf.fandom.com/wiki/Doctor_Lamas
132,Nosferatu,10th,Calebros,,Kaius Leto,https://whitewolf.fandom.com/wiki/Kaius_Leto
133,Nosferatu antitribu,"['11th (originally)', '10th (first diablerie)', '9th (through diablerie)', '8th (through diablerie)', '7th (through diablerie)']",Unknown,,Christanius Lionel,https://whitewolf.fandom.com/wiki/Christanius_Lionel
134,Nosferatu antitribu,9th,Joseph Cambridge,,Juan Antonio Lopez de Aguirre,https://whitewolf.fandom.com/wiki/Juan_Antonio_Lopez_de_Aguirre
135,Nosferatu,9th,Sigmund the Leper,,Lukas,https://whitewolf.fandom.com/wiki/Lukas
136,Nosferatu,possibly 4th or 5th[1],,,Molly MacDonald,https://whitewolf.fandom.com/wiki/Molly_MacDonald
137,Nosferatu,unknown,,,Anna Magdelena,https://whitewolf.fandom.com/wiki/Anna_Magdelena
138,Nosferatu,10th,Marco,,Maginardo,https://whitewolf.fandom.com/wiki/Maginardo
139,Nosferatu,7th,Vasilli,The Three,Malachite,https://whitewolf.fandom.com/wiki/Malachite
140,Nosferatu antitribu,11th,Estaban Vasquez,,Malloc,https://whitewolf.fandom.com/wiki/Malloc
141,Nosferatu,7th,unknown,,Kokopell Mana,https://whitewolf.fandom.com/wiki/Kokopell_Mana
142,Nosferatu,9th,,Maginardo (1032 CE),Marco (Nosferatu),https://whitewolf.fandom.com/wiki/Marco_(Nosferatu)
143,Nosferatu,unknown,,,Ambrus Maropis,https://whitewolf.fandom.com/wiki/Ambrus_Maropis
144,Nosferatu,9th,Unknown,,Martin,https://whitewolf.fandom.com/wiki/Martin
145,Nosferatu,9th,Lawrence Meeks,,Martin (Nosferatu),https://whitewolf.fandom.com/wiki/Martin_(Nosferatu)
146,Nosferatu antitribu,[],Petrodon,Few/Several,Julio Martinez,https://whitewolf.fandom.com/wiki/Julio_Martinez
147,Nosferatu,8th,Zelios,Ruxandra,Marusca,https://whitewolf.fandom.com/wiki/Marusca
148,Nosferatu,9th,Alexander,,Violet Mary,https://whitewolf.fandom.com/wiki/Violet_Mary
149,Nosferatu,unknown,Quentin de Senlis (adopted),,Maréchal,https://whitewolf.fandom.com/wiki/Mar%C3%A9chal
150,Thin-blooded,14th,,,Nora McCreery,https://whitewolf.fandom.com/wiki/Nora_McCreery
151,Nosferatu,possibly 8th or 9th,,,The Medic,https://whitewolf.fandom.com/wiki/The_Medic
152,Nosferatu,4th,Absimiliard,"['Angiwar (6th millennium BCE)', 'Urgahalt', 'many others']",Medusa (VTM),https://whitewolf.fandom.com/wiki/Medusa_(VTM)
153,Nosferatu,8th,Warwick,"['Avery (1851)', 'Roger (1865)', 'Martin (1871)']",Lawrence Meeks,https://whitewolf.fandom.com/wiki/Lawrence_Meeks
154,Nosferatu (Nictuku),4th,Absimiliard,[],Melachoate,https://whitewolf.fandom.com/wiki/Melachoate
155,Nosferatu,5th,The Matriarch (Supposedly),,Memmon,https://whitewolf.fandom.com/wiki/Memmon
156,Nosferatu,7th,,,Mihail,https://whitewolf.fandom.com/wiki/Mihail
157,Nosferatu,,Gary Golden,,Mitnick,https://whitewolf.fandom.com/wiki/Mitnick
158,Nosferatu (Mnemachian),6th,Drutalos,[],Mnemach,https://whitewolf.fandom.com/wiki/Mnemach
159,Nosferatu,8th,Reremouse,Dove,Modian,https://whitewolf.fandom.com/wiki/Modian
160,Nosferatu,9th,Oliver the Black,,Montrose,https://whitewolf.fandom.com/wiki/Montrose
161,Nosferatu,possibly 8th or 9th,,,Larissa Moreira,https://whitewolf.fandom.com/wiki/Larissa_Moreira
162,Nosferatu,,,,Mouse,https://whitewolf.fandom.com/wiki/Mouse
163,Nosferatu,,,,Nicholas (Nosferatu),https://whitewolf.fandom.com/wiki/Nicholas_(Nosferatu)
0,Nosferatu (Nictuku),4th,Absimiliard,,Nuckalavee,https://whitewolf.fandom.com/wiki/Nuckalavee
1,Nosferatu,possibly 13th,unknown,"['Angus', 'Korenna']",Okulos,https://whitewolf.fandom.com/wiki/Okulos
2,Nosferatu,,,,Omnis,https://whitewolf.fandom.com/wiki/Omnis
3,Nosferatu,8th,,Prudence Stone (1700s),Osric,https://whitewolf.fandom.com/wiki/Osric
4,Nosferatu,9th,,Toby (1988),Oswald,https://whitewolf.fandom.com/wiki/Oswald
5,Nosferatu,9th,Kristian,,Felicia Page,https://whitewolf.fandom.com/wiki/Felicia_Page
6,Nosferatu antitribu,,Brother Kanker,,G. Pangbourne,https://whitewolf.fandom.com/wiki/G._Pangbourne
7,Nosferatu antitribu,7th,Boronisk,"['Kristian (1985)', 'Anastasia (1989)', 'Raul (1990)', 'Numerous']",Parovich,https://whitewolf.fandom.com/wiki/Parovich
8,Nosferatu,6th,Angiwar,Likely a few,Pawnbroker,https://whitewolf.fandom.com/wiki/Pawnbroker
9,Nosferatu,8th,unknown; possibly Hilda Edelwood,Rathe Haversham (1801),Blind Peter,https://whitewolf.fandom.com/wiki/Blind_Peter
10,Nosferatu,9th,Shagaret al-Durr,,Petra (Cairo),https://whitewolf.fandom.com/wiki/Petra_(Cairo)
11,Nosferatu,7th,,Jara Drory,Petra (Yugoslavia),https://whitewolf.fandom.com/wiki/Petra_(Yugoslavia)
12,Nosferatu,5th/6th Speculation,Cristo,"['Julio Martinez (1437)', 'Cock Robin (1757)']",Petrodon,https://whitewolf.fandom.com/wiki/Petrodon
13,Nosferatu,6th,Urgahalt,,Phantomas,https://whitewolf.fandom.com/wiki/Phantomas
14,Nosferatu,,,,Pietro (Nosferatu),https://whitewolf.fandom.com/wiki/Pietro_(Nosferatu)
15,Nosferatu,5th,Baba Yaga,,Poison Tooth,https://whitewolf.fandom.com/wiki/Poison_Tooth
16,Nosferatu,7th,,,Elmer Polanski,https://whitewolf.fandom.com/wiki/Elmer_Polanski
17,Nosferatu,6th,Trajan,Warwick (1584 CE),Powell,https://whitewolf.fandom.com/wiki/Powell
18,Nosferatu,unknown,,,Pug (Nosferatu),https://whitewolf.fandom.com/wiki/Pug_(Nosferatu)
19,Nosferatu,,,Heather LaFlamme,Qui,https://whitewolf.fandom.com/wiki/Qui
20,Nosferatu,7th,Sabanu,"['Augustin (1449)', 'Several unnamed']",Rabbat,https://whitewolf.fandom.com/wiki/Rabbat
21,Nosferatu,12th,,,Rachel (Nosferatu),https://whitewolf.fandom.com/wiki/Rachel_(Nosferatu)
22,Nosferatu antitribu,9th,possibly Radcliffe with Teeth,Gemini (1964),Radcliffe Without Teeth,https://whitewolf.fandom.com/wiki/Radcliffe_Without_Teeth
23,Nosferatu,8th,,[],Horace Radcliffe,https://whitewolf.fandom.com/wiki/Horace_Radcliffe
24,Nosferatu,8th,,,Ragged Jenny,https://whitewolf.fandom.com/wiki/Ragged_Jenny
25,Nosferatu (Nictuku),6th,Androvikus,"['Sradish', 'Reremouse', 'Vole']",Rasalon,https://whitewolf.fandom.com/wiki/Rasalon
26,Nosferatu,8th,Parovich,,Raul (Nosferatu),https://whitewolf.fandom.com/wiki/Raul_(Nosferatu)
27,Nosferatu,unknown,,A follower,Fra' Raymond,https://whitewolf.fandom.com/wiki/Fra%27_Raymond
28,Nosferatu,7th,Rasalon,Modian,Reremouse,https://whitewolf.fandom.com/wiki/Reremouse
29,Nosferatu antitribu,unknown (most likely 9th[1]),Roderigo al-Dakhil (adopted),,Reveka,https://whitewolf.fandom.com/wiki/Reveka
30,Nosferatu,,Unknown,,Lucianna Ricci,https://whitewolf.fandom.com/wiki/Lucianna_Ricci
31,Nosferatu,9th,Lawrence Meeks,,Roger (Nosferatu),https://whitewolf.fandom.com/wiki/Roger_(Nosferatu)
32,Nosferatu,unknown,,,Rolph,https://whitewolf.fandom.com/wiki/Rolph
33,Nosferatu,possibly 7th[1],,,Benjamin Rose,https://whitewolf.fandom.com/wiki/Benjamin_Rose
34,Nosferatu,,,,Meyer Amschel Rothschild,https://whitewolf.fandom.com/wiki/Meyer_Amschel_Rothschild
35,Nosferatu,10th,Kamilah,,Rowan,https://whitewolf.fandom.com/wiki/Rowan
36,Nosferatu,unknown,,,Rubianna,https://whitewolf.fandom.com/wiki/Rubianna
37,Nosferatu,7th,Khalid,,Jurgis Rudkus,https://whitewolf.fandom.com/wiki/Jurgis_Rudkus
38,Nosferatu,9th,,,Ruxandra,https://whitewolf.fandom.com/wiki/Ruxandra
39,Nosferatu,6th,,Rabbat (1237),Sabanu,https://whitewolf.fandom.com/wiki/Sabanu
40,Nosferatu,11th,Antonius Heerenven,,Herschel Salomon,https://whitewolf.fandom.com/wiki/Herschel_Salomon
41,Nosferatu,9th,Cedrick Calhoun,,Salt,https://whitewolf.fandom.com/wiki/Salt
42,Nosferatu,11th,Unknown,,Shafiqah,https://whitewolf.fandom.com/wiki/Shafiqah
43,Nosferatu (Hajj),8th,Ibn Ja'far,,Shahid,https://whitewolf.fandom.com/wiki/Shahid
44,Nosferatu,6th,Angiwar,,Ahjan Shakkar,https://whitewolf.fandom.com/wiki/Ahjan_Shakkar
45,Nosferatu,9th,Kristian,,Mort Sheaffer,https://whitewolf.fandom.com/wiki/Mort_Sheaffer
46,Nosferatu,8th,,Lukas (1121 CE),Sigmund the Leper,https://whitewolf.fandom.com/wiki/Sigmund_the_Leper
47,Nosferatu antitribu,possibly 9th or 10th,,,Skulk,https://whitewolf.fandom.com/wiki/Skulk
48,Nosferatu antitribu,,,,Smallpox Griet,https://whitewolf.fandom.com/wiki/Smallpox_Griet
49,Nosferatu,12th,,,Tommy Smith,https://whitewolf.fandom.com/wiki/Tommy_Smith
50,Nosferatu,7th,Rasalon,,Sradish,https://whitewolf.fandom.com/wiki/Sradish
51,Nosferatu,9th,Osric,,Prudence Stone,https://whitewolf.fandom.com/wiki/Prudence_Stone
52,Nosferatu antitribu,6th,Alexius,['Gunther'],Strohmann,https://whitewolf.fandom.com/wiki/Strohmann
53,Nosferatu,6th,unknown,,Subitai,https://whitewolf.fandom.com/wiki/Subitai
54,Nosferatu,9th,Richard de Worde,,Harold Tanner,https://whitewolf.fandom.com/wiki/Harold_Tanner
55,Nosferatu antitribu,unknown,Unknown,,Tarbaby Jack,https://whitewolf.fandom.com/wiki/Tarbaby_Jack
56,Nosferatu (Hajj),5th,The Matriarch (possibly),"['Mazen ibn Tarique', ""Ja'far al-Medinat""]",Tarique,https://whitewolf.fandom.com/wiki/Tarique
57,Nosferatu antitribu,8th,Gerhardt,,Teresita,https://whitewolf.fandom.com/wiki/Teresita
58,Nosferatu,6th,Unknown,,Thaddeus,https://whitewolf.fandom.com/wiki/Thaddeus
59,Nosferatu,possibly 8th or 9th,,,The Dowager,https://whitewolf.fandom.com/wiki/The_Dowager
60,Nosferatu,unknown,,,Argus Theophilides,https://whitewolf.fandom.com/wiki/Argus_Theophilides
61,Nosferatu,9th,Richard de Worde,,Thomas the Rat,https://whitewolf.fandom.com/wiki/Thomas_the_Rat
62,Nosferatu antitribu,12th,Unknown,El Diablo Verde,El Tiburón,https://whitewolf.fandom.com/wiki/El_Tibur%C3%B3n
63,Nosferatu,10th,Oswald,,Toby,https://whitewolf.fandom.com/wiki/Toby
64,Nosferatu antitribu,,,,Tock,https://whitewolf.fandom.com/wiki/Tock
65,Nosferatu,unknown,,,Michael Tolliver,https://whitewolf.fandom.com/wiki/Michael_Tolliver
66,Nosferatu,7th (possibly through diablerie),Unknown,Cedrick Calhoun,Tommy,https://whitewolf.fandom.com/wiki/Tommy
67,Nosferatu,5th,The Matriarch (presumed),Powell,Trajan,https://whitewolf.fandom.com/wiki/Trajan
68,Nosferatu,11th,,,An Tran,https://whitewolf.fandom.com/wiki/An_Tran
69,Nosferatu,8th,Unknown,,Tub of Flesh,https://whitewolf.fandom.com/wiki/Tub_of_Flesh
70,Nosferatu,,,,Bertram Tung,https://whitewolf.fandom.com/wiki/Bertram_Tung
71,Nosferatu,unknown,,,Umberto,https://whitewolf.fandom.com/wiki/Umberto
72,Nosferatu,9th,Radcliffe with Teeth,,Uncle Smelly,https://whitewolf.fandom.com/wiki/Uncle_Smelly
73,Nosferatu,5th,Medusa,Phantomas,Urgahalt,https://whitewolf.fandom.com/wiki/Urgahalt
